意见反馈留言板	意見反饋留言【板】
说尽心中无限事	說【盡】心中無限事
外科手术式打击	外科手【術】式打擊
光固化复合树脂	光固化【復】合樹脂
萨达姆同母异父	薩達姆【同】母異父
不知不觉睡着了	不知不覺睡著【了】
不尽长江滚滚流	不【盡】長江滾滾流
这你就不知道了	這你就不知道【了】
我才知道原来我	我【才】知道原來我
你吃饭了没有啊	你吃飯【了】沒有啊
参加雅典奥运会	【參】加雅典奧運會
云鬓半偏新睡觉	【雲】鬢半偏新睡覺
不甘心只是朋友	不甘心【只】是朋友
海南特别行政区	海南特【別】行政區
的成绩获得冠军	的成績【獲】得冠軍
动不动就发脾气	動不動就【發】脾氣
在玩什么游戏啊	在玩什麼【遊】戲啊
他什么时候回来	他什麼時候【回】來
你一定爱上了我	你一定愛上【了】我
风情万种的女人	風情【萬】【種】的女人
高楼目尽欲黄昏	高樓目【盡】【欲】黃昏
塞纳里奥远征队	塞納【里】奧遠【徵】隊
壮志未酬身先死	壯【志】未酬身先死
四时佳兴与人同	四時佳興與人【同】
过去的都过去了	過去的都過去【了】
复方地芬诺酯片	【復】方地芬諾酯片
感烟火灾探测器	感【煙】火災探測器
回头下望人寰处	【回】頭下望人寰處
你现在在那里呢	你現在在那【里】呢
百世修来同船渡	百世修來【同】船渡
盎格鲁撒克逊人	盎格魯撒【克】遜人
舍南舍北皆春水	【舍】南【舍】北皆春水
艾里莆与赛乃姆	艾【里】莆與賽乃姆
拒人以千里之外	拒人以【千】【里】之外
不好意思打扰了	不好意思打擾【了】
伊拉克研究小组	伊拉【克】研究小組
这条消息太毒了	這條消息太毒【了】
梦入江南烟水路	夢入江南【煙】水路
死去元知万事空	死去元知【萬】事空
以公有制为基础	以公有【制】爲基礎
千载琵琶作胡语	【千】載琵琶作【胡】語
不过是过眼云烟	不過是過眼【雲】【煙】
发生的恐怖袭击	【發】生的恐怖襲擊
白云生处有人家	白【雲】生處有人家
脑子里只有一个	腦子【里】【只】有一個
非洲金融共同体	非洲金融共【同】體
我的心里充满了	我的心【里】充滿【了】
江流曲似九回肠	江流【曲】似九【回】腸
千世修来共枕眠	【千】世修來共枕眠
始共春风容易别	始共春風容易【別】
不好意思我忘了	不好意思我忘【了】
马上就要过去了	馬上就要過去【了】
向阳花木早逢春	【向】陽花木早逢春
已经过去很久了	已經過去很久【了】
国际标准交谊舞	國際標【準】交誼舞
鼓声渐远游人散	鼓聲漸遠【遊】人散
破历史最高纪录	破【歷】史最高紀錄
雅典奥运会之后	雅典奧運會之【後】
从国家利益出发	從國家利益【出】【發】
一辈子只有一次	一輩子【只】有一次
共同战斗的战友	共【同】戰【鬭】的戰友
小组赛最后一轮	小組賽最【後】一輪
五彩斑斓的世界	五【彩】斑斕的世界
时人不识余心乐	時人不識【餘】心樂
唯见江心秋月白	唯見江心【秋】月白
醋酸氟轻松软膏	醋酸氟輕【鬆】軟膏
只恐双溪舴艋舟	【只】恐雙溪舴艋舟
九万里风鹏正举	九【萬】【里】風鵬正舉
艾森克人格问卷	艾森【克】人格問【捲】
浊酒一杯家万里	濁酒一杯家【萬】【里】
我只是随便说说	我【只】是隨便說說
市场上这里看看	市場上這【里】看看
葫芦里卖什么药	葫蘆【里】賣什麼【藥】
好马不吃回头草	好馬不吃【回】頭草
晚妆初了明肌雪	晚妝初【了】明肌雪
并不能代表什么	【並】不能代【表】什麼
御宇多年求不得	【御】宇多年求不得
孤灯挑尽未成眠	孤燈挑【盡】未成眠
在本赛季结束后	在本賽季結束【後】
云鬓花颜金步摇	【雲】鬢花顏金步搖
放松自己的心情	放【鬆】自己的心情
一面风情深有韵	一【面】風情深有韻
混凝土设计规范	混凝土設計規【範】
欲将沉醉换悲凉	【欲】將沉醉換悲涼
我对你一见钟情	我對你一見【鍾】情
暗淡轻黄体性柔	【暗】淡輕黃體性柔
国际建筑师协会	國際建【築】師協會
纳克萨玛斯之影	納【克】薩瑪斯之影
拿着鸡毛当令箭	拿著雞毛【當】令箭
脑海里一片空白	腦海【里】一片空白
暗随流水到天涯	【暗】隨流水到天涯
乘长风破万里浪	乘長風破【萬】【里】浪
向父母打小报告	【向】父母打小報告
纽伦堡法兰克人	紐倫堡法蘭【克】人
做了什么对不起	做【了】什麼對不起
轮台东门送君去	輪【臺】東門送君去
富贵于我如浮云	富貴於我如浮【雲】
村庄儿女各当家	村莊兒女各【當】家
肯定是要退出了	肯定是要退【出】【了】
电路交换数据网	電路交換數【據】網
你现在在家里吗	你現在在家【里】嗎
可信计算机系统	可信計算機【係】統
秋登兰山寄张五	【秋】登蘭山寄張五
一叶落知天下秋	一葉落知天下【秋】
春江花朝秋月夜	春江花朝【秋】月夜
耶娘妻子走相送	耶【娘】妻子走相送
请你一定要幸福	請你一定要【幸】福
楼阁玲珑五云起	樓閣玲瓏五【雲】起
御虎国防科普网	【御】虎國防科普網
梦游听妈妈的话	夢【遊】聽媽媽的話
再回头已百年身	再【回】頭已百年身
什么时候回家呀	什麼時候【回】家呀
孤立词语音识别	孤立詞語音識【別】
几曾着眼看侯王	【幾】曾著眼看侯王
惊破霓裳羽衣曲	驚破霓裳羽衣【曲】
注射用绒促性素	【注】射用絨促性素
借酒浇愁愁更愁	【借】酒澆愁愁更愁
在我们的世界里	在我們的世界【里】
同仁乌鸡白凤丸	【同】仁烏雞白鳳丸
我知道你是谁了	我知道你是誰【了】
我只是实话实说	我【只】是實話實說
胡琴琵琶与羌笛	【胡】琴琵琶與羌笛
奥斯里安的束缚	奧斯【里】安的束縛
欲上青天览明月	【欲】上青天覽明月
商人重利轻别离	商人重利輕【別】離
什么时候才能在	什麼時候【才】能在
多媒体数据模型	多媒體數【據】模型
什么时候回来了	什麼時候【回】來【了】
云母屏风烛影深	【雲】母屏風燭影深
三步并作两步走	三步【並】作兩步走
安德烈基里连科	安德烈基【里】連科
钟山只隔数重山	【鍾】山【只】隔數重山
斜光到晓穿朱户	斜光到曉穿【朱】戶
打破了世界纪录	打破【了】世界紀錄
冉冉秋光留不住	冉冉【秋】光留不住
千万不要让自己	【千】【萬】不要讓自己
马上就要开学了	馬上就要開學【了】
明天又要上班了	明天又要上班【了】
清月出岭光入扉	清月【出】嶺光入扉
平林新月人归后	平林新月人歸【後】
笙歌散尽游人去	笙歌散【盡】【遊】人去
沙上并禽池上暝	沙上【並】禽池上暝
春风十里扬州路	春風十【里】揚州路
那一种寸步不离	那一【種】寸步不離
谁人背后无人说	誰人背【後】無人說
失去的只是一个	失去的【只】是一個
二十五味松石丸	二十五味【鬆】石丸
复方板蓝根颗粒	【復】方【板】藍根顆粒
什么病吃什么药	什麼病吃什麼【藥】
一波才动万波随	一波【才】動【萬】波隨
有时候只是一个	有時候【只】是一個
歌声共水流云断	歌聲共水流【雲】斷
迟发型超敏反应	遲【發】型超敏反應
枫叶荻花秋瑟瑟	楓葉荻花【秋】瑟瑟
问君西游何时还	問君西【遊】何時還
在落后的情况下	在落【後】的情況下
吃了原告吃被告	吃【了】原告吃被告
松间沙路净无泥	【鬆】間沙路凈無泥
玉容寂寞泪阑干	玉容寂寞淚闌【幹】
平芜尽处是春山	平蕪【盡】處是春山
当时若不登高望	【當】時若不登高望
当时共我赏花人	【當】時共我賞花人
往事后期空记省	往事【後】期空記省
合成表面活性剂	合成【表】【面】活性劑
计算机辅助制图	計算機輔助【制】圖
分布式对象技术	分【佈】式對象技【術】
狂爱龙卷风恋曲	狂愛龍【捲】風戀【曲】
注射用头孢拉定	【注】射用頭孢拉定
长烟落日孤城闭	長【煙】落日孤城閉
沈园柳老不吹绵	【瀋】園柳老不吹綿
中间小谢又清发	中間小謝又清【發】
识实务者为俊杰	識實務者爲俊【傑】
数声和月到帘栊	數聲和月到【簾】櫳
现在已经习惯了	現在已經習慣【了】
回看天际下中流	【回】看天際下中流
分手后还是朋友	分手【後】還是朋友
好了不和你聊了	好【了】不和你聊【了】
百草千花寒食路	百草【千】花寒食路
我只是随便问问	我【只】是隨便問問
路边野花不要采	路邊野花不要【採】
将军白发征夫泪	將軍白【發】【徵】夫淚
陪你一起打游戏	陪你一起打【遊】戲
在我们的生命里	在我們的生命【里】
游戏论坛等你来	【遊】戲論【壇】等你來
解热镇痛抗炎药	解熱鎮痛抗炎【藥】
只要你在我身边	【只】要你在我身邊
回避型人格障碍	【回】避型人格障礙
签署了合作协议	【籖】署【了】合作協議
波心荡冷月无声	波心【蕩】冷月無聲
二十余年如一梦	二十【餘】年如一夢
一剑曾当百万师	一劍曾【當】百【萬】師
公布的民意调查	公【佈】的民意調查
怎么也说不出口	怎麼也說不【出】口
西非经济共同体	西非經濟共【同】體
郁孤台下清江水	【鬱】孤【臺】下清江水
只争来早与来迟	【只】爭來早與來遲
我只是一个过客	我【只】是一個過客
人间别久不成悲	人間【別】久不成悲
一切都是为了你	一切都是爲【了】你
五角大楼发言人	五角大樓【發】言人
千村万落生荆杞	【千】村【萬】落生荊杞
幸福到底是什么	【幸】福到底是什麼
送春春去几时回	送春春去【幾】時【回】
长江后浪催前浪	長江【後】浪催前浪
绿杨烟外晓寒轻	綠楊【煙】外曉寒輕
有缘千里来相会	有緣【千】【里】來相會
等我回来的时候	等我【回】來的時候
归云一去无踪迹	歸【雲】一去無蹤跡
正是河豚欲上时	正是河豚【欲】上時
玉人浴出新妆洗	玉人浴【出】新妝洗
早点回去休息吧	早點【回】去休息吧
心病还得心药医	心病還得心【藥】醫
不要想那么多了	不要想那麼多【了】
四面边声连角起	四【面】邊聲連角起
秋雨梧桐叶落时	【秋】雨梧桐葉落時
牙科综合治疗台	牙科綜合治療【臺】
复方五味子糖浆	【復】方五味子糖漿
万氏牛黄清心丸	【萬】氏牛黃清心丸
不要人夸颜色好	不要人【誇】顏色好
解铃还得系铃人	解鈴還得【係】鈴人
猿猱欲度愁攀援	猿猱【欲】度愁攀援
群山万壑赴荆门	群山【萬】壑赴荊門
走到尽头的时候	走到【盡】頭的時候
更多精彩小游戏	更多精【彩】小【遊】戲
比赛的最后时刻	比賽的最【後】時刻
我已经不记得了	我已經不記得【了】
离开了这个城市	離開【了】這個城市
副总理伊万诺夫	副總理伊【萬】諾夫
贾生才调更无伦	賈生【才】調更無倫
宰相肚里好撑船	宰相肚【里】好撐船
复方氢氧化铝片	【復】方氫氧化鋁片
徒要教郎比并看	徒要教郎比【並】看
蜡烛有心还惜别	【蠟】燭有心還惜【別】
云淡风轻近午天	【雲】淡風輕近午天
玉树琼枝作烟萝	玉樹瓊枝作【煙】蘿
对象链接与嵌入	對象【鏈】接與嵌入
崔九堂前几度闻	崔九堂前【幾】度聞
是我的高中同学	是我的高中【同】學
千金难买老来瘦	【千】金難買老來瘦
人间能得几回闻	人間能得【幾】【回】聞
贾氏窥帘韩掾少	賈氏窺【簾】韓掾少
心病还须心药医	心病還【須】心【藥】醫
输入输出处理器	輸入輸【出】處理器
微内核操作系统	微內核操作【係】統
只疑松动要来扶	【只】疑【鬆】動要來扶
过尽飞鸿字字愁	過【盡】飛鴻字字愁
九华帐里梦魂惊	九華帳【里】夢魂驚
散入珠帘湿罗幕	散入珠【簾】濕羅幕
