联系我们	聯【係】我們
但朱广沪	但【朱】廣滬
早就好了	早就好【了】
球队分别	球隊分【別】
防水胶布	防水膠【佈】
编制文档	編【制】文檔
后台背景	【後】【臺】背景
发挥运用	【發】揮運用
空车返回	空車返【回】
认知系统	認知【係】統
还有同事	還有【同】事
这种笑容	這【種】笑容
在家里呢	在家【里】呢
情愫暗生	情愫【暗】生
缠着纱布	纏著紗【佈】
分配宿舍	分配宿【舍】
出去买点	【出】去買點
在干吗了	在【幹】嗎【了】
录象系统	錄象【係】統
当他是个	【當】他是個
不足为据	不足爲【據】
哥萨克的	哥薩【克】的
洛阳才子	洛陽【才】子
分别编译	分【別】編譯
黑夜里我	黑夜【里】我
挽留不住	【挽】留不住
充斥市面	充斥市【面】
后防大将	【後】防大將
斯帕克斯	斯帕【克】斯
说不去了	說不去【了】
电子激发	電子激【發】
跳上沙发	跳上沙【發】
公测当天	公測【當】天
系统增益	【係】統增益
动向不明	動【向】不明
克拉克说	【克】拉【克】說
系统封锁	【係】統封鎖
日台北讯	日【臺】北訊
屡仆屡起	屢【僕】屢起
决出冠军	決【出】冠軍
运价标准	運價標【準】
亭可马里	亭可馬【里】
输出矢量	輸【出】矢量
宣布免除	宣【佈】免除
那段回忆	那段【回】憶
重庆那里	重慶那【里】
回转装置	【回】轉裝置
心里上的	心【里】上的
站在雨里	站在雨【里】
那几天里	那【幾】天【里】
削价出售	削價【出】售
区别标志	區【別】標【志】
赶什么了	趕什麼【了】
一旦付出	一旦付【出】
卡文克莱	卡文【克】萊
就行了呗	就行【了】唄
该懂事了	該懂事【了】
无恶意地	無【惡】意地
接了起来	接【了】起來
游目骋怀	【遊】目騁懷
普罗布考	普羅【佈】考
别人爱你	【別】人愛你
开始熏黑	開始【熏】黑
说不出我	說不【出】我
大麻纤维	大麻【纖】維
迷彩图案	迷【彩】圖案
你的面具	你的【面】具
信托存款	信【托】存款
才可以真	【才】可以真
我欲成魔	我【欲】成魔
我接不了	我接不【了】
横向合并	橫【向】合【並】
家庭制造	家庭【制】造
月份回去	月份【回】去
云雾迷蒙	【雲】霧迷【蒙】
彩舟云淡	【彩】舟【雲】淡
勤俭朴实	勤儉【樸】實
专项合同	專項合【同】
也回去了	也【回】去【了】
碳纤维板	碳【纖】維【板】
千岩万壑	【千】【巖】【萬】壑
她在后面	她在【後】【面】
发出光泽	【發】【出】光澤
除了喝酒	除【了】喝酒
游览市容	【遊】覽市容
和你聊了	和你聊【了】
出厂规格	【出】廠規格
别怪我啊	【別】怪我啊
尽管他也	【盡】管他也
警方先后	警方先【後】
相似准则	相似【準】則
只属于她	【只】屬於她
主从系统	主從【係】統
一种凄凉	一【種】凄涼
管材标准	管材標【準】
军政当局	軍政【當】局
据实回答	【據】實【回】答
是一只羊	是一【只】羊
同学家玩	【同】學家玩
心脏性的	心【髒】性的
一种拥有	一【種】擁有
引出函数	引【出】函數
好几天呢	好【幾】天呢
来表示我	來【表】示我
让我走出	讓我走【出】
汇票汇款	【匯】票【匯】款
种特异的	【種】特異的
这次回到	這次【回】到
压制自由	壓【制】自由
了你的脸	【了】你的臉
蝴蝶去向	蝴蝶去【向】
过渡计划	過渡計【劃】
灿若云锦	燦若【雲】錦
恢复日志	恢【復】日【志】
谢里夫派	謝【里】夫派
吓到你了	嚇到你【了】
布尔人的	【佈】爾人的
并且每隔	【並】且每隔
买彩票了	買【彩】票【了】
青年宿舍	青年宿【舍】
杂种后代	雜【種】【後】代
行为范畴	行爲【範】疇
世界真系	世界真【係】
当之有愧	【當】之有愧
云一样的	【雲】一樣的
非伊拉克	非伊拉【克】
小世界里	小世界【里】
又当别论	又【當】【別】論
板甲护肩	【板】甲護肩
讨厌我了	討厭我【了】
链状结构	【鏈】狀結構
流芳后世	流芳【後】世
略表寸心	略【表】寸心
划线工具	【劃】線工具
发育条件	【發】育條件
未发行的	未【發】行的
溢出中断	溢【出】中斷
她回去了	她【回】去【了】
中葡关系	中葡關【係】
欠发展的	欠【發】展的
赋格曲的	賦格【曲】的
面对孤独	【面】對孤獨
出自善意	【出】自善意
这回去也	這【回】去也
据德新社	【據】德新社
蘑菇战术	蘑菇戰【術】
不只怎么	不【只】怎麼
被害了的	被害【了】的
转向南方	轉【向】南方
分布区间	分【佈】區間
回国访问	【回】國訪問
斗鸡走马	【鬭】雞走馬
示范过程	示【範】過程
万岁千秋	【萬】歲【千】【秋】
我都怕了	我都怕【了】
也为别人	也爲【別】人
爱发牢骚	愛【發】牢騷
说分手了	說分手【了】
我忘却了	我忘卻【了】
就迟到了	就遲到【了】
我又换了	我又換【了】
数据语句	數【據】語句
闭锁系统	閉鎖【係】統
读出操作	讀【出】操作
外汇各项	外【匯】各項
一直熏着	一直【熏】著
反导计划	反導計【劃】
共同秘密	共【同】秘密
同城死敌	【同】城死敵
品格特征	品格特【徵】
并行实现	【並】行實現
并行控制	【並】行控【制】
后熟作用	【後】熟作用
冲击次数	【衝】擊次數
后续成本	【後】續成本
恢复周期	恢【復】【周】期
的角色里	的角色【里】
我早来了	我早來【了】
容貌特征	容貌特【徵】
占有产权	【佔】有產權
考试过了	考試過【了】
千年寒冰	【千】年寒冰
进不了啊	進不【了】啊
没公布的	沒公【佈】的
必须传给	必【須】傳給
横向网络	橫【向】網絡
了脑海中	【了】腦海中
天使当她	天使【當】她
刚才是你	剛【才】是你
恢复模型	恢【復】模型
工业团体	工業【團】體
皇太后以	皇太【後】以
只是和他	【只】是和他
一种不幸	一【種】不【幸】
技术统治	技【術】統治
后被警方	【後】被警方
轨迹规划	軌跡規【劃】
向他问好	【向】他問好
我又恢复	我又恢【復】
早上回去	早上【回】去
将你挽留	將你【挽】留
几千年当	【幾】【千】年【當】
等待成了	等待成【了】
我妈说了	我媽說【了】
那边才见	那邊【才】見
发条娃娃	【發】條娃娃
天然板岩	天然【板】【巖】
木雕艺人	木【雕】藝人
然后生命	然【後】生命
发育过度	【發】育過度
字母表的	字母【表】的
也流泪了	也流淚【了】
发白日梦	【發】白日夢
那只狐狸	那【只】狐狸
汇通能源	【匯】通能源
形状系数	形狀【係】數
采集效果	【採】集效果
出去玩呀	【出】去玩呀
会为了她	會爲【了】她
只能叹息	【只】能嘆息
和忧郁的	和憂【鬱】的
并联补偿	【並】聯補償
只能一天	【只】能一天
计划停运	計【劃】停運
苏格兰语	【蘇】格蘭語
已经碎了	已經碎【了】
超级标准	超級標【準】
曲线动作	【曲】線動作
终而复始	終而【復】始
几个夜晚	【幾】個夜晚
试用标准	試用標【準】
沥青地面	瀝青地【面】
里的感情	【里】的感情
大宫松鼠	大宮【鬆】鼠
缓冲压力	緩【衝】壓力
几乎绝对	【幾】乎絕對
的更幸福	的更【幸】福
我想找回	我想找【回】
总控制室	總控【制】室
升清降浊	【升】清降濁
票据公司	票【據】公司
尸体掩埋	【屍】體掩埋
我就有种	我就有【種】
几个十年	【幾】個十年
听着别人	聽著【別】人
三根不同	三根不【同】
说好了吗	說好【了】嗎
火成岩的	火成【巖】的
可以做回	可以做【回】
的希拉克	的希拉【克】
只是命运	【只】是命運
作业周期	作業【周】期
当众受辱	【當】眾受辱
荡着秋千	【蕩】著【秋】【千】
收缩系数	收縮【係】數
裸体游泳	裸體【遊】泳
几度轮回	【幾】度輪【回】
何时回来	何時【回】來
的流泪了	的流淚【了】
太想你了	太想你【了】
敲响丧钟	敲響喪【鍾】
抵制不住	抵【制】不住
不负所托	不負所【托】
开创局面	開創局【面】
私藏炸药	私藏炸【藥】
在秋天里	在【秋】天【里】
小别小别	小【別】小【別】
我们会发	我們會【發】
你里面的	你【里】【面】的
由直升机	由直【升】機
等我好了	等我好【了】
余悸犹存	【餘】悸猶存
骗自己了	騙自己【了】
满坑满谷	滿坑滿【谷】
阶段发育	階段【發】育
重复支付	重【復】支付
采光系数	【採】光【係】數
转向窗外	轉【向】窗外
央电视台	央電視【臺】
成千累万	成【千】纍【萬】
阿曲库铵	阿【曲】庫銨
向她微笑	【向】她微笑
汇款余额	【匯】款【餘】額
我无关了	我無關【了】
毒血症的	毒血【症】的
通电话了	通電話【了】
控制上限	控【制】上限
不论冬夏	不論【冬】夏
同恶相济	【同】【惡】相濟
舞台装饰	舞【臺】裝飾
输出元件	輸【出】元件
的说出口	的說【出】口
喜欢长发	喜歡長【發】
工行发行	工行【發】行
撒小乐团	撒小樂【團】
再找借口	再找【借】口
再次打出	再次打【出】
只租不买	【只】租不買
重新征收	重新【徵】收
后马托品	【後】馬【托】品
飞向幸福	飛【向】【幸】福
逐末舍本	逐末【舍】本
迂回运输	迂【回】運輸
一种灵魂	一【種】靈魂
回家干吗	【回】家【幹】嗎
脉冲前沿	脈【衝】前沿
的告别了	的告【別】【了】
神志正常	神【志】正常
再然后就	再然【後】就
只在夜里	【只】在夜【里】
后悔还来	【後】悔還來
划过嘴角	【劃】過嘴角
电压曲线	電壓【曲】線
锋不可当	鋒不可【當】
才气十足	【才】氣十足
当我以为	【當】我以爲
了两节课	【了】兩節課
别不理我	【別】不理我
你算了吧	你算【了】吧
一团烈火	一【團】烈火
曾参杀人	曾【參】殺人
只想早点	【只】想早點
烟消火灭	【煙】消火滅
日披露了	日披露【了】
想获得的	想【獲】得的
同业银行	【同】業銀行
烤面包器	烤【面】包器
真系中意	真【係】中意
受委托者	受委【托】者
超出限度	超【出】限度
空谷幽魂	空【谷】幽魂
过来好了	過來好【了】
恶意抨击	【惡】意抨擊
就很郁闷	就很【鬱】悶
想不起了	想不起【了】
债券发生	債券【發】生
光面照片	光【面】照片
同步请求	【同】步請求
清晰发音	清晰【發】音
纳粹党人	納粹【黨】人
反思制度	反思【制】度
在去回忆	在去【回】憶
若水三千	若水三【千】
托国王队	【托】國王隊
再回到你	再【回】到你
特征信号	特【徵】信號
在风雨里	在風雨【里】
舍身报国	【舍】身報國
好象坏了	好象壞【了】
舞台管理	舞【臺】管理
言犹未尽	言猶未【盡】
百计千方	百計【千】方
盛大方面	盛大方【面】
特种业务	特【種】業務
伊图里河	伊圖【里】河
船只失事	船【只】失事
早不玩了	早不玩【了】
不认得了	不認得【了】
群控系统	群控【係】統
娶媳妇了	娶媳婦【了】
游戏评比	【遊】戲評比
那么远了	那麼遠【了】
心里好象	心【里】好象
画面全都	畫【面】全都
弹子游戏	彈子【遊】戲
一触及发	一觸及【發】
又生气了	又生氣【了】
在准备中	在【準】備中
后缀表示	【後】綴【表】示
我才这样	我【才】這樣
无须勉强	無【須】勉強
代表团队	代【表】【團】隊
剩余基金	剩【餘】基金
彩衣娱亲	【彩】衣娛親
太在乎了	太在乎【了】
特征条件	特【徵】條件
暗杀未遂	【暗】殺未遂
全面来看	全【面】來看
老太太了	老太太【了】
彩色合成	【彩】色合成
推荐了解	推薦【了】解
当我独自	【當】我獨自
外面站着	外【面】站著
这无尽的	這無【盡】的
我刚准备	我剛【準】備
有些放松	有些放【鬆】
仿佛过了	仿佛過【了】
因为爱才	因爲愛【才】
通用标志	通用標【志】
少了拥抱	少【了】擁抱
当你和她	【當】你和她
推销艺术	推銷藝【術】
庆幸生命	慶【幸】生命
这个群里	這個群【里】
在水里哭	在水【里】哭
来回摇动	來【回】搖動
硬件恢复	硬件恢【復】
让我经历	讓我經【歷】
发出回声	【發】【出】【回】聲
也会幸福	也會【幸】福
为了玩家	爲【了】玩家
都不玩了	都不玩【了】
制度逻辑	【制】度邏輯
露出凶相	露【出】【兇】相
朴朴素素	【樸】【樸】素素
托收业务	【托】收業務
半身雕像	半身【雕】像
赖在这里	賴在這【里】
网状系统	網狀【係】統
马尾发型	馬尾【發】型
怀有恶意	懷有【惡】意
句法关系	句法關【係】
二虎相斗	二虎相【鬭】
外戚干政	外【戚】【幹】政
我换号了	我換號【了】
就要舍得	就要【舍】得
回报的爱	【回】報的愛
三只飞舞	三【只】飛舞
志刚表示	【志】剛【表】示
再打折扣	再打【折】扣
才上网的	【才】上網的
你只感到	你【只】感到
出尽洋相	【出】【盡】洋相
估价制度	估價【制】度
委托本报	委【托】本報
小哈里斯	小哈【里】斯
诗云子曰	詩【雲】子曰
克尔大学	【克】爾大學
让我付出	讓我付【出】
回答爱情	【回】答愛情
我也饿了	我也餓【了】
地面磨擦	地【面】磨擦
治穷致富	治窮【致】富
再找回来	再找【回】來
筛选制度	篩選【制】度
学问低了	學問低【了】
也背叛了	也背叛【了】
流通票据	流通票【據】
也知足了	也知足【了】
只能藏在	【只】能藏在
当我了解	【當】我【了】解
系统密钥	【係】統密鑰
基准货币	基【準】貨幣
对你只有	對你【只】有
略表心意	略【表】心意
茶杯里的	茶杯【里】的
参数空间	【參】數空間
一别多年	一【別】多年
借酒装疯	【借】酒裝瘋
工党议员	工【黨】議員
班师回营	班師【回】營
刮目相待	【刮】目相待
吉凶难卜	吉【兇】難【卜】
带走了你	帶走【了】你
太大了啊	太大【了】啊
充分余地	充分【餘】地
想念你了	想念你【了】
联邦当局	聯邦【當】局
群众场面	群眾場【面】
农发基金	農【發】基金
后梁太祖	【後】【樑】太祖
学术职称	學【術】職稱
修筑工程	修【築】工程
磁化系数	磁化【係】數
一表非凡	一【表】非凡
梅克林格	梅【克】林格
游玩家的	【遊】玩家的
窗外发呆	窗外【發】呆
当作笑话	【當】作笑話
恶虎扑食	【惡】虎撲食
隐蔽斗争	隱蔽【鬭】爭
栽培变种	栽培變【種】
急速向前	急速【向】前
胜友如云	勝友如【雲】
弯曲表面	彎【曲】【表】【面】
斗鸡的人	【鬭】雞的人
头球冲顶	頭球【衝】頂
视同路人	視【同】路人
后备系统	【後】備【係】統
暗自流泪	【暗】自流淚
证书鉴别	證書鑒【別】
成象系统	成象【係】統
宣布幸福	宣【佈】【幸】福
转发程序	轉【發】程序
向谁诉说	【向】誰訴說
双手万能	雙手【萬】能
去除内脏	去除內【髒】
当你可以	【當】你可以
在夏天里	在夏天【里】
还能写出	還能寫【出】
分布服务	分【佈】服務
胆大如斗	膽大如【鬭】
剩余电压	剩【餘】電壓
参数结合	【參】數結合
也该回家	也該【回】家
每个夜里	每個夜【里】
并不难过	【並】不難過
逃不出你	逃不【出】你
参加暴动	【參】加暴動
包价旅游	包價旅【遊】
从宽发落	從寬【發】落
干部体制	【幹】部體【制】
一只修行	一【只】修行
恬淡寡欲	恬淡寡【欲】
同类相残	【同】類相殘
误会你了	誤會你【了】
郁闷回家	【鬱】悶【回】家
饶了我们	饒【了】我們
排放系数	排放【係】數
适合耕种	適合耕【種】
运输限制	運輸限【制】
补不回来	補不【回】來
技术文本	技【術】文本
明星制度	明星【制】度
盈余资金	盈【餘】資金
恩威并重	恩威【並】重
告别了我	告【別】【了】我
立为王后	立爲王【後】
雨后斜阳	雨【後】斜陽
标准货币	標【準】貨幣
月入数万	月入數【萬】
的回不去	的【回】不去
视为当然	視爲【當】然
被挤压出	被擠壓【出】
怀念那种	懷念那【種】
最后属于	最【後】屬於
重复印刷	重【復】印刷
心慈面软	心慈【面】軟
暗影能量	【暗】影能量
了然无痕	【了】然無痕
那种感动	那【種】感動
气焰万丈	氣焰【萬】丈
强化压制	強化壓【制】
共和党员	共和【黨】員
茶花姑娘	茶花姑【娘】
你真有才	你真有【才】
跳投偏出	跳投偏【出】
货币同盟	貨幣【同】盟
暗涌已经	【暗】涌已經
指针停在	指【針】停在
核对发票	核對【發】票
变成熟了	變成熟【了】
一种空虚	一【種】空虛
一种无名	一【種】無名
复兴基地	【復】興基地
老郁闷了	老【鬱】悶【了】
节制消费	節【制】消費
暗藏春色	【暗】藏春色
很了解她	很【了】解她
帐面利润	帳【面】利潤
就回来吧	就【回】來吧
一分钟里	一分【鍾】【里】
向萨达姆	【向】薩達姆
贡献余热	貢獻【餘】熱
当我和你	【當】我和你
进入同步	進入【同】步
斗来斗去	【鬭】來【鬭】去
留恋的了	留戀的【了】
准许通行	【準】許通行
我有了你	我有【了】你
只要男孩	【只】要男孩
甘为人后	甘爲人【後】
出入人罪	【出】入人罪
不要别离	不要【別】離
年龄适当	年齡適【當】
临时代表	臨時代【表】
十二经别	十二經【別】
这种答案	這【種】答案
预先注定	預先【注】定
批准下来	批【準】下來
便学会了	便學會【了】
为了村民	爲【了】村民
然后和她	然【後】和她
的花开了	的花開【了】
同胞赠送	【同】胞贈送
表面下的	【表】【面】下的
打篮球了	打籃球【了】
为何幸福	爲何【幸】福
尽早办理	【盡】早辦理
不假外出	不假外【出】
回火脆性	【回】火脆性
回复突变	【回】【復】突變
在网上了	在網上【了】
什么复活	什麼【復】活
政权制度	政權【制】度
恶化状况	【惡】化狀況
滞后网络	滯【後】網絡
男孩走了	男孩走【了】
斯塔万格	斯塔【萬】格
铜版雕刻	銅版【雕】刻
只是隐身	【只】是隱身
爆破了的	爆破【了】的
十二表法	十二【表】法
树脂制的	樹脂【制】的
过渡曲线	過渡【曲】線
千里之任	【千】【里】之任
堂堂一表	堂堂一【表】
系统监察	【係】統監察
布衣之交	【佈】衣之交
数据分块	數【據】分塊
这种女生	這【種】女生
薪尽火传	薪【盡】火傳
藏量丰富	藏量【豐】富
我只能笑	我【只】能笑
病人数据	病人數【據】
当天援引	【當】天援引
我一回来	我一【回】來
同创集团	【同】創集【團】
大发议论	大【發】議論
就注定会	就【注】定會
党校的重	【黨】校的重
护航舰只	護航艦【只】
输入向量	輸入【向】量
当时男孩	【當】時男孩
久经锻炼	久經鍛【煉】
成群结党	成群結【黨】
走出西藏	走【出】西藏
同步错误	【同】步錯誤
词汇分析	詞【匯】分析
睡醒之后	睡醒之【後】
只是无言	【只】是無言
须眉男儿	【須】眉男兒
雇佣合约	雇【傭】合約
特殊折扣	特殊【折】扣
人才会被	人【才】會被
曼联方面	曼聯方【面】
以后见了	以【後】見【了】
弹簧地板	彈簧地【板】
社团间的	社【團】間的
不痛快发	不痛快【發】
直接合并	直接合【並】
同样只能	【同】樣【只】能
之后女孩	之【後】女孩
就来临了	就來臨【了】
早些回家	早些【回】家
给我发过	給我【發】過
无所回避	無所【回】避
精彩专区	精【彩】專區
平面桁架	平【面】桁架
水面下降	水【面】下降
去那里拉	去那【里】拉
集团报价	集【團】報價
不可向迩	不可【向】邇
丁当作响	丁【當】作響
策略获取	策略【獲】取
玩什么了	玩什麼【了】
换了机子	換【了】機子
我也只会	我也【只】會
书面言语	書【面】言語
遗恨千古	遺恨【千】古
走过之后	走過之【後】
舞台舞蹈	舞【臺】舞蹈
输出序列	輸【出】序列
他才答应	他【才】答應
特别协定	特【別】協定
接种牛痘	接【種】牛痘
总布置图	總【佈】置圖
别人为我	【別】人爲我
线胀系数	線脹【係】數
最疼我了	最疼我【了】
入地了解	入地【了】解
慌做一团	慌做一【團】
带我回去	帶我【回】去
回来陪你	【回】來陪你
分出层次	分【出】層次
自我了结	自我【了】結
发现她也	【發】現她也
半干旱的	半【幹】旱的
一板正经	一【板】正經
那只老鼠	那【只】老鼠
挺轻松的	挺輕【鬆】的
爱的面前	愛的【面】前
当男朋友	【當】男朋友
发给你看	【發】給你看
勇猛向前	勇猛【向】前
心雄万夫	心雄【萬】夫
还是那只	還是那【只】
旋转秋千	旋轉【秋】【千】
获得前场	【獲】得前場
走马章台	走馬章【臺】
面对黑暗	【面】對黑【暗】
零点输出	零點輸【出】
纳粹党的	納粹【黨】的
参与股改	【參】與股改
独占性的	獨【佔】性的
板式楼梯	【板】式樓梯
英保守党	英保守【黨】
周转过程	【周】轉過程
母系亲属	母【係】親屬
山前山后	山前山【後】
来回搜索	來【回】搜索
不漂亮了	不漂亮【了】
就地控制	就地控【制】
真的郁闷	真的【鬱】悶
使有差别	使有差【別】
天天郁闷	天天【鬱】悶
资料改了	資料改【了】
占有欲的	【佔】有【欲】的
秋风厌倦	【秋】風厭倦
金城千里	金城【千】【里】
个就好了	個就好【了】
雕龙画凤	【雕】龍畫鳳
转向齿轮	轉【向】齒輪
哪怕这种	哪怕這【種】
五行系统	五行【係】統
我不看了	我不看【了】
男人哭了	男人哭【了】
我退出了	我退【出】【了】
你抛弃了	你拋棄【了】
里的月亮	【里】的月亮
可信系统	可信【係】統
就快来了	就快來【了】
发不过去	【發】不過去
现在走了	現在走【了】
一直过了	一直過【了】
针织短裤	【針】織短褲
煽动种族	煽動【種】族
那时心里	那時心【里】
发错信息	【發】錯信息
可用之才	可用之【才】
编制格式	編【制】格式
这种安静	這【種】安靜
棉布手套	棉【佈】手套
的手松开	的手【鬆】開
调查中发	調查中【發】
当然会了	【當】然會【了】
随后拨通	隨【後】撥通
她只记得	她【只】記得
上班了吧	上班【了】吧
是和同学	是和【同】學
心里乱乱	心【里】亂亂
在哪里哦	在哪【里】哦
法术穿透	法【術】穿透
析出硬化	析【出】硬化
呆了四年	呆【了】四年
密度曲线	密度【曲】線
密封表面	密封【表】【面】
仿古制品	仿古【制】品
方面军队	方【面】軍隊
的解释才	的解釋【才】
停药反应	停【藥】反應
今天睡了	今天睡【了】
当初那种	【當】初那【種】
汇集资料	【匯】集資料
形状参数	形狀【參】數
托收费用	【托】收費用
周周到到	【周】【周】到到
指挥塔台	指揮塔【臺】
要饿死了	要餓死【了】
加速周转	加速【周】轉
廉价香烟	廉價香【煙】
回到相约	【回】到相約
音色控制	音色控【制】
调剂外汇	調劑外【匯】
里外夹攻	【里】外夾攻
才回家的	【才】【回】家的
完游戏了	完【遊】戲【了】
不肯回头	不肯【回】頭
破了个洞	破【了】個洞
深度分布	深度分【佈】
摆官架子	【擺】官架子
很准时的	很【準】時的
永远也回	永遠也【回】
阅读准备	閱讀【準】備
勃发生机	勃【發】生機
病人识别	病人識【別】
你杀死了	你殺死【了】
就向流星	就【向】流星
局部发展	局部【發】展
要说出口	要說【出】口
金伯利岩	金伯利【巖】
你赢得了	你贏得【了】
梁家辉饰	【樑】家輝飾
克莱门汀	【克】萊門汀
一万公尺	一【萬】公尺
雇佣契约	雇【傭】契約
双向交通	雙【向】交通
忘了你忘	忘【了】你忘
收入汇总	收入【匯】總
公然发表	公然【發】【表】
磁化方向	磁化方【向】
少私寡欲	少私寡【欲】
约好见面	約好見【面】
一种海藻	一【種】海藻
拨款关系	撥款關【係】
用几何学	用【幾】何學
千里关山	【千】【里】關山
面部用的	【面】部用的
帆板运动	帆【板】運動
承当责任	承【當】責任
增量调制	增量調【制】
触发线圈	觸【發】線圈
点击回答	點擊【回】答
去游戏了	去【遊】戲【了】
折断桅杆	【折】斷桅桿
做好做恶	做好做【惡】
过就好了	過就好【了】
工业复兴	工業【復】興
无技术的	無技【術】的
十洲云水	十洲【雲】水
即使错了	即使錯【了】
恪尽职责	恪【盡】職責
差错恢复	差錯恢【復】
受伤害了	受傷害【了】
深恶痛觉	深【惡】痛覺
敢说敢干	敢說敢【幹】
遗忘当时	遺忘【當】時
有种想要	有【種】想要
我写不出	我寫不【出】
让人受尽	讓人受【盡】
加我干吗	加我【幹】嗎
光彩炫目	光【彩】炫目
会跟幸福	會跟【幸】福
快晕死了	快暈死【了】
象牙制的	象牙【制】的
啥时候才	啥時候【才】
海底捞针	海底撈【針】
强制投资	強【制】投資
的轮回里	的輪【回】【里】
视同陌路	視【同】陌路
回风管道	【回】風管道
青灯黄卷	青燈黃【捲】
多云天空	多【雲】天空
系于一线	【係】於一線
变的特别	變的特【別】
只想获得	【只】想【獲】得
那种结果	那【種】結果
写作系统	寫作【係】統
死而复苏	死而【復】【蘇】
总有不同	總有不【同】
双向运行	雙【向】運行
下颌后缩	下頜【後】縮
吹灭蜡烛	吹滅【蠟】燭
不停重复	不停重【復】
内伤发热	內傷【發】熱
面对出击	【面】對【出】擊
有人要了	有人要【了】
日期标志	日期標【志】
莽牯朱蛤	莽牯【朱】蛤
循环缓冲	循環緩【衝】
不回来呢	不【回】來呢
姨表兄弟	姨【表】兄弟
一枝折得	一枝【折】得
挟嫌报复	挾嫌報【復】
划线标明	【劃】線標明
单一汇率	單一【匯】率
同义词典	【同】義詞典
向海岸的	【向】海岸的
货币集团	貨幣集【團】
出口汇率	【出】口【匯】率
借口改变	【借】口改變
小妹妹了	小妹妹【了】
要去尝试	要去【嘗】試
只是听着	【只】是聽著
坏透了的	壞透【了】的
点多才睡	點多【才】睡
宿舍的女	宿【舍】的女
琐窗朱户	瑣窗【朱】戶
杂散发射	雜散【發】射
冲淡我们	【衝】淡我們
订了婚的	訂【了】婚的
邮政汇票	郵政【匯】票
为了谁而	爲【了】誰而
我回家拉	我【回】家拉
激发光源	激【發】光源
实干时间	實【幹】時間
最低余额	最低【餘】額
回去考试	【回】去考試
先左后右	先左【後】右
不到方向	不到方【向】
出于必要	【出】於必要
一秒钟也	一秒【鍾】也
回去晚了	【回】去晚【了】
动物占卜	動物【佔】【卜】
脚前脚后	腳前腳【後】
曲率中心	【曲】率中心
精彩高考	精【彩】高考
多才回家	多【才】【回】家
开学了啊	開學【了】啊
蒙古气旋	【蒙】古氣旋
在干嘛了	在【幹】嘛【了】
备尝艰辛	備【嘗】艱辛
无性别的	無性【別】的
就回宿舍	就【回】宿【舍】
曲意奉迎	【曲】意奉迎
我的忧郁	我的憂【鬱】
登入游戏	登入【遊】戲
桌面会议	桌【面】會議
治疗专注	治療專【注】
才懂得去	【才】懂得去
交不了货	交不【了】貨
嚼舌自尽	嚼舌自【盡】
说就好了	說就好【了】
一种多么	一【種】多麼
通盘计划	通盤計【劃】
辜负了她	辜負【了】她
一只可怜	一【只】可憐
才算是爱	【才】算是愛
夹肉面包	夾肉【面】包
冲击荷载	【衝】擊荷載
无尽之海	無【盡】之海
眼里总是	眼【里】總是
链路失效	【鏈】路失效
星期几啊	星期【幾】啊
三无板块	三無【板】塊
一奶同胞	一奶【同】胞
占星学的	【佔】星學的
建筑条件	建【築】條件
须菩提言	【須】菩提言
胡马嘶风	【胡】馬嘶風
爵士舞曲	爵士舞【曲】
复用信道	【復】用信道
出勤时间	【出】勤時間
铸造制品	鑄造【制】品
印制导线	印【制】導線
吓着你了	嚇著你【了】
离别之际	離【別】之際
因为当她	因爲【當】她
境内发射	境內【發】射
一种包容	一【種】包容
输出编码	輸【出】編碼
烟蓑雨笠	【煙】蓑雨笠
你干不干	你【幹】不【幹】
拿下后场	拿下【後】場
释放控制	釋放控【制】
无烟燃烧	無【煙】燃燒
我醉欲眠	我醉【欲】眠
划了一刀	【劃】【了】一刀
模样丑陋	模樣【醜】陋
基础表达	基礎【表】達
龙门吊车	龍門【吊】車
数据屏幕	數【據】屏幕
只记得你	【只】記得你
算在里面	算在【里】【面】
没干嘛呀	沒【幹】嘛呀
在那里耍	在那【里】耍
你板着脸	你【板】著臉
不肯付出	不肯付【出】
能够获胜	能夠【獲】勝
收罗人才	收羅人【才】
肌原纤维	肌原【纖】維
铯原子钟	銫原子【鍾】
停止付出	停止付【出】
二部曲式	二部【曲】式
的哭出来	的哭【出】來
基本汇率	基本【匯】率
拼板游戏	拼【板】【遊】戲
少上网了	少上網【了】
强化了的	強化【了】的
千兆字节	【千】兆字節
学术倾向	學【術】傾【向】
好象变了	好象變【了】
存亡未卜	存亡未【卜】
妖魔小丑	妖魔小【醜】
挪威克郎	挪威【克】郎
也不上了	也不上【了】
怕被老板	怕被老【板】
卷积编码	【捲】積編碼
浮云蔽日	浮【雲】蔽日
数据条目	數【據】條目
几个月老	【幾】個月老
再坚持了	再堅持【了】
循环参数	循環【參】數
一号种子	一號【種】子
出去走了	【出】去走【了】
没爹没娘	沒爹沒【娘】
想知道当	想知道【當】
种类和数	【種】類和數
打出安打	打【出】安打
长得出色	長得【出】色
人无千日	人無【千】日
别生气嘛	【別】生氣嘛
我也回去	我也【回】去
偏出门柱	偏【出】門柱
电气干扰	電氣【幹】擾
咳嗽发作	咳嗽【發】作
校外宿舍	校外宿【舍】
升级年龄	【升】級年齡
竭尽忠诚	竭【盡】忠誠
外汇波动	外【匯】波動
检索机制	檢索機【制】
说出分手	說【出】分手
绝对数据	絕對數【據】
续约合同	續約合【同】
