发送电子邮件	【發】送電子郵件
十几年过去了	十【幾】年過去【了】
克里米亚战争	【克】【里】米亞戰爭
自欺欺人罢了	自欺欺人罷【了】
高脂蛋白血症	高脂蛋白血【症】
网络游戏平台	網絡【遊】戲平【臺】
实施经济制裁	實施經濟【制】裁
作者共同所有	作者共【同】所有
历史唯心主义	【歷】史唯心主義
国民党发言人	國民【黨】【發】言人
没有解决不了	沒有解決不【了】
网络休闲游戏	網絡休閑【遊】戲
给我打电话了	給我打電話【了】
学校卫生标准	學校衛生標【準】
保持良好关系	保持良好關【係】
一种与众不同	一【種】與眾不【同】
醒来发现自己	醒來【發】現自己
集团有关人士	集【團】有關人士
吸引了很多人	吸引【了】很多人
监督控制系统	監督控【制】【係】統
无法回到从前	無法【回】到從前
依法作出上述	依法作【出】上述
我会给你幸福	我會給你【幸】福
同母异父兄弟	【同】母異父兄弟
发展债券市场	【發】展債券市場
做出什么样的	做【出】什麼樣的
民主党候选人	民主【黨】候選人
发动侵略战争	【發】動侵略戰爭
昨天发布消息	昨天【發】【佈】消息
第一次见到了	第一次見到【了】
很快就结束了	很快就結束【了】
四轮驱动系统	四輪驅動【係】統
勇敢地站出来	勇敢地站【出】來
代表兄弟姐妹	代【表】兄弟姐妹
只要我们的心	【只】要我們的心
比赛最后阶段	比賽最【後】階段
真是太高兴了	真是太高興【了】
在一千年以后	在一【千】年以【後】
只有他们自己	【只】有他們自己
知道我是谁了	知道我是誰【了】
却得不到回报	卻得不到【回】報
被调查者表示	被調查者【表】示
你会发现原来	你會【發】現原來
了解更多新闻	【了】解更多新聞
当天在巴格达	【當】天在巴格達
本次发行数量	本次【發】行數量
软件开发周期	軟件開【發】【周】期
一个星期之后	一個星期之【後】
发表文章指出	【發】【表】文章指【出】
升级所需经验	【升】級所需經驗
乌克兰核弹头	烏【克】蘭核彈頭
男朋友吵架了	男朋友吵架【了】
也不是很了解	也不是很【了】解
我回去的时候	我【回】去的時候
遇到什么挫折	遇到什麼挫【折】
早点回去睡觉	早點【回】去睡覺
在北京会见了	在北京會見【了】
我只是问一下	我【只】是問一下
身上我看到了	身上我看到【了】
表面安装技术	【表】【面】安裝技【術】
不过最后还是	不過最【後】還是
网络互联技术	網絡互聯技【術】
这种不负责任	這【種】不負責任
在野党民主党	在野【黨】民主【黨】
酒足饭饱之后	酒足飯飽之【後】
新的会计准则	新的會計【準】則
成为美国历史	成爲美國【歷】史
出租车公司的	【出】租車公司的
松花江哈尔滨	【鬆】花江哈爾濱
我等着你回来	我等著你【回】來
慢慢就习惯了	慢慢就習慣【了】
复方甘草合剂	【復】方甘草合劑
横向经济联合	橫【向】經濟聯合
忘了我但是她	忘【了】我但是她
我只爱我老婆	我【只】愛我老婆
汽车产品召回	汽車產品召【回】
千万不要忘了	【千】【萬】不要忘【了】
不好意思刚才	不好意思剛【才】
我有什么关系	我有什麼關【係】
把我吓了一跳	把我嚇【了】一跳
北京市气象台	北京市氣象【臺】
招生计划总数	招生計【劃】總數
只有我们自己	【只】有我們自己
公布获奖名单	公【佈】【獲】獎名單
社会民主党人	社會民主【黨】人
的历史教科书	的【歷】史教科書
靖国神社参拜	靖國神社【參】拜
中国联通彩铃	中國聯通【彩】鈴
成了众矢之的	成【了】眾矢之的
新学期开始了	新學期開始【了】
媒体访问控制	媒體訪問控【制】
一周年纪念日	一【周】年紀念日
才可以明白的	【才】可以明白的
可以找到幸福	可以找到【幸】福
成为了好朋友	成爲【了】好朋友
不共戴天之仇	不共戴天之【仇】
用惯了自己的	用慣【了】自己的
经历了无数次	經【歷】【了】無數次
不见如隔三秋	不見如隔三【秋】
这一天出生的	這一天【出】生的
截至当地时间	截至【當】地時間
发展对华关系	【發】展對華關【係】
在一个角落里	在一個角落【里】
通用操作系统	通用操作【係】統
我们无法控制	我們無法控【制】
和你开玩笑了	和你開玩笑【了】
有着截然不同	有著截然不【同】
丰富的想像力	【豐】富的想像力
明确表示反对	明確【表】示反對
指挥部了解到	指揮部【了】解到
空气质量周报	空氣質量【周】報
持不同政见者	持不【同】政見者
到底为了什么	到底爲【了】什麼
但据记者了解	但【據】記者【了】解
一种怎么样的	一【種】怎麼樣的
给他们提供了	給他們提供【了】
首都布达佩斯	首都【佈】達佩斯
整体上市计划	整體上市計【劃】
农田生态系统	農田生態【係】統
长成参天大树	長成【參】天大樹
经济数据公布	經濟數【據】公【佈】
工作怎么样了	工作怎麼樣【了】
日志分类管理	日【志】分類管理
第一次见面看	第一次見【面】看
到底做了什么	到底做【了】什麼
在伊拉克北部	在伊拉【克】北部
十几岁的时候	十【幾】歲的時候
你是哪里人呢	你是哪【里】人呢
提出严厉批评	提【出】嚴厲批評
组委会了解到	組委會【了】解到
忘得差不多了	忘得差不多【了】
当地时间周五	【當】地時間【周】五
在这里写东西	在這【里】寫東西
你今年多大了	你今年多大【了】
根据以上情况	根【據】以上情況
见我最后一面	見我最【後】一【面】
对生活充满了	對生活充滿【了】
无论春夏秋冬	無論春夏【秋】【冬】
踏遍千山万水	踏遍【千】山【萬】水
不管刮风下雨	不管【刮】風下雨
伊拉克内政部	伊拉【克】內政部
外面的世界是	外【面】的世界是
知道自己该干	知道自己該【幹】
我只要你记住	我【只】要你記住
路上注意安全	路上【注】意安全
发过来我看看	【發】過來我看看
为自己赢得了	爲自己贏得【了】
在这个圈子里	在這個圈子【里】
奥特兰克山脉	奧特蘭【克】山脈
爽快的答应了	爽快的答應【了】
只要自己喜欢	【只】要自己喜歡
发现自己还是	【發】現自己還是
走到哪里都是	走到哪【里】都是
是一件很幸福	是一件很【幸】福
我找到了一个	我找到【了】一個
不要轻易尝试	不要輕易【嘗】試
复方阿司匹林	【復】方阿司匹林
记者调查了解	記者調查【了】解
法律关系主体	法律關【係】主體
希尔斯布莱德	希爾斯【佈】萊德
每当夜深人静	每【當】夜深人靜
逻辑链路控制	邏輯【鏈】路控【制】
想起了小时候	想起【了】小時候
几乎一无所知	【幾】乎一無所知
你就不理我了	你就不理我【了】
开出的任意球	開【出】的任意球
并行处理技术	【並】行處理技【術】
有关领导表示	有關領導【表】示
备受各界关注	備受各界關【注】
回报爱一个人	【回】報愛一個人
上市公司规范	上市公司規【範】
并派出工作组	【並】派【出】工作組
但他们并没有	但他們【並】沒有
那我就放心了	那我就放心【了】
响当当的人物	響【當】【當】的人物
对华出口管制	對華【出】口管【制】
挂牌交易出售	掛牌交易【出】售
就是一见钟情	就是一見【鍾】情
回到属于我的	【回】到屬於我的
人对记者表示	人對記者【表】示
确定发行价格	確定【發】行價格
高中阶段获得	高中階段【獲】得
给自己留下了	給自己留下【了】
巴勒斯坦当局	巴勒斯坦【當】局
自己只是一个	自己【只】是一個
进行最后一次	進行最【後】一次
充满了无限的	充滿【了】無限的
近几个交易日	近【幾】個交易日
表现有目共睹	【表】現有目共睹
人情薄似秋云	人情薄似【秋】【雲】
不用我说了吧	不用我說【了】吧
成分的一致性	成分的一【致】性
向记者提供了	【向】記者提供【了】
那你早点回去	那你早點【回】去
最后一次相信	最【後】一次相信
那就不要说了	那就不要說【了】
当地时间上午	【當】地時間上午
不管走到哪里	不管走到哪【里】
哈萨克斯坦队	哈薩【克】斯坦隊
我现在要下了	我現在要下【了】
皮质醇增多症	皮質醇增多【症】
派出所报了案	派【出】所報【了】案
又过了一会儿	又過【了】一會兒
出于什么样的	【出】於什麼樣的
第二信号系统	第二信號【係】統
的生活充满了	的生活充滿【了】
没有迹象表明	沒有跡象【表】明
记者采访时曾	記者【採】訪時曾
旅游小姐大赛	旅【遊】小姐大賽
气象专家表示	氣象專家【表】示
爆发出热烈的	爆【發】【出】熱烈的
手机铃声制作	手機鈴聲【制】作
二冲程发动机	二【衝】程【發】動機
我爱你一万年	我愛你一【萬】年
白发苍苍的老	白【發】蒼蒼的老
回春如意胶囊	【回】春如意膠囊
给自己带来了	給自己帶來【了】
奥运会历史上	奧運會【歷】史上
完全发挥出来	完全【發】揮【出】來
慢慢地学会了	慢慢地學會【了】
自然通风系统	自然通風【係】統
回答中外记者	【回】答中外記者
在会议结束后	在會議結束【後】
没时间上网了	沒時間上網【了】
变得复杂起来	變得【復】雜起來
派出所教导员	派【出】所教導員
可以松一口气	可以【鬆】一口氣
大学毕业后的	大學畢業【後】的
核磁共振技术	核磁共振技【術】
很久没有联系	很久沒有聯【係】
这时你会发现	這時你會【發】現
怎么没有出去	怎麼沒有【出】去
面对形形色色	【面】對形形色色
那我怎么联系	那我怎麼聯【係】
一点也不了解	一點也不【了】解
技术设备进口	技【術】設備進口
八国集团峰会	八國集【團】峰會
一点都不夸张	一點都不【誇】張
夫妻不要忘了	夫妻不要忘【了】
自顶向下方法	自頂【向】下方法
新加坡金曲奖	新加坡金【曲】獎
温度控制标准	溫度控【制】標【準】
消息据美联社	消息【據】美聯社
开新闻发布会	開新聞【發】【佈】會
中方共同努力	中方共【同】努力
技术临床应用	技【術】臨床應用
网络游戏服务	網絡【遊】戲服務
来自中国台湾	來自中國【臺】灣
几个回合下来	【幾】個【回】合下來
为了这个目标	爲【了】這個目標
突然发生爆炸	突然【發】生爆炸
各打五十大板	各打五十大【板】
再也忍受不了	再也忍受不【了】
电中国国民党	電中國國民【黨】
在比赛结束后	在比賽結束【後】
一个小时之后	一個小時之【後】
历史上最成功	【歷】史上最成功
我突然想到了	我突然想到【了】
的第一个周末	的第一個【周】末
你有什么关系	你有什麼關【係】
往事历历在目	往事【歷】【歷】在目
征收反补贴税	【徵】收反補貼稅
广发证券借壳	廣【發】證券【借】殼
政府官员表示	政府官員【表】示
是第一次见面	是第一次見【面】
留给我的回忆	留給我的【回】憶
就这么结束了	就這麼結束【了】
第五代战斗机	第五代戰【鬭】機
真的好想回到	真的好想【回】到
半个小时之后	半個小時之【後】
玩什么游戏了	玩什麼【遊】戲【了】
我已经结婚了	我已經結婚【了】
当时并不知道	【當】時【並】不知道
一个鼻孔出气	一個鼻孔【出】氣
讨论了那么久	討論【了】那麼久
不由得想起了	不由得想起【了】
能控制自己的	能控【制】自己的
当地气象部门	【當】地氣象部門
只是我自己的	【只】是我自己的
来说只是一个	來說【只】是一個
只许州官放火	【只】許州官放火
别人不一样的	【別】人不一樣的
早已不知去向	早已不知去【向】
哭得稀里哗啦	哭得稀【里】嘩啦
好不容易才把	好不容易【才】把
参加国际比赛	【參】加國際比賽
向记者解释说	【向】記者解釋說
现任总统布什	現任總統【佈】什
纳斯达克中国	納斯達【克】中國
不要想太多了	不要想太多【了】
阿拉伯电视台	阿拉伯電視【臺】
更多精彩美图	更多精【彩】美圖
错误的时间里	錯誤的時間【里】
即期外汇市场	即期外【匯】市場
才明白为什么	【才】明白爲什麼
一种莫名其妙	一【種】莫名其妙
电脑出问题了	電腦【出】問題【了】
只有在这样的	【只】有在這樣的
为了我们的爱	爲【了】我們的愛
民主党领导人	民主【黨】領導人
我也要回家了	我也要【回】家【了】
承受范围之内	承受【範】圍之內
青瓦台总统府	青瓦【臺】總統府
突然冒出来的	突然冒【出】來的
坚持不下去了	堅持不下去【了】
垃圾处理系统	垃圾處理【係】統
由南向北行驶	由南【向】北行駛
灌溉水质标准	灌溉水質標【準】
参加冠军联赛	【參】加冠軍聯賽
需要付出代价	需要付【出】代價
忘不了你温柔	忘不【了】你溫柔
整天提心吊胆	整天提心【吊】膽
中小企业板的	中小企業【板】的
混合动力技术	混合動力技【術】
上面密密麻麻	上【面】密密麻麻
很久很久以后	很久很久以【後】
抓获涉案人员	抓【獲】涉案人員
宁静的夜空里	寧靜的夜空【里】
叫什么名字了	叫什麼名字【了】
不和你说了啊	不和你說【了】啊
心里七上八下	心【里】七上八下
忍不住笑出声	忍不住笑【出】聲
谁让我爱上了	誰讓我愛上【了】
共同声明起步	共【同】聲明起步
无意间发现了	無意間【發】現【了】
一直以为幸福	一直以爲【幸】福
希望你能幸福	希望你能【幸】福
海淀工商分局	海【澱】工商分局
带来了无尽的	帶來【了】無【盡】的
一年后的今天	一年【後】的今天
布拉迪斯拉发	【佈】拉迪斯拉【發】
派出所了解到	派【出】所【了】解到
明月别枝惊鹊	明月【別】枝驚鵲
只能忍气吞声	【只】能忍氣吞聲
纽约外汇市场	紐約外【匯】市場
提升中国公民	提【升】中國公民
我住在你心里	我住在你心【里】
造成致命一击	造成【致】命一擊
爱乐管弦乐团	愛樂管弦樂【團】
共和党参议员	共和【黨】【參】議員
采取实际行动	【採】取實際行動
或许只是一个	或許【只】是一個
发表声明指出	【發】【表】聲明指【出】
中国烟草在线	中國【煙】草在線
启动应急机制	啓動應急機【制】
城市规划标准	城市規【劃】標【準】
朋友一起出去	朋友一起【出】去
说不出的高兴	說不【出】的高興
第一时间出来	第一時間【出】來
今年参加高考	今年【參】加高考
看着镜子里的	看著鏡子【里】的
在我们的周围	在我們的【周】圍
发现这个世界	【發】現這個世界
当前中日关系	【當】前中日關【係】
命中率达到了	命中率達到【了】
没有必要为了	沒有必要爲【了】
但是最后还是	但是最【後】還是
养血生发胶囊	養血生【發】膠囊
的哈萨克斯坦	的哈薩【克】斯坦
一点点就够了	一點點就夠【了】
是不是发错了	是不是【發】錯【了】
实在没办法了	實在沒辦法【了】
这个时候出现	這個時候【出】現
标准输出文件	標【準】輸【出】文件
烟草花叶病毒	【煙】草花葉病毒
这是一种新的	這是一【種】新的
影视美术设计	影視美【術】設計
总统卡尔扎伊	總統卡爾【扎】伊
伏安特性曲线	伏安特性【曲】線
调频广播电台	調頻廣播電【臺】
数据加密算法	數【據】加密算法
海峡两岸旅游	海峽兩岸旅【遊】
什么时候回去	什麼時候【回】去
只要开心就好	【只】要開心就好
共同历史研究	共【同】【歷】史研究
虚拟操作系统	虛擬操作【係】統
我实在想不出	我實在想不【出】
危急存亡之秋	危急存亡之【秋】
两国关系不断	兩國關【係】不斷
飞越千山万水	飛越【千】山【萬】水
后经抢救无效	【後】經搶救無效
根据中国足协	根【據】中國足協
一个星期以后	一個星期以【後】
我很喜欢这种	我很喜歡這【種】
中国国家外汇	中國國家外【匯】
港台最受欢迎	港【臺】最受歡迎
我不知道别人	我不知道【別】人
扑克牌通缉令	撲【克】牌通緝令
我也不知道了	我也不知道【了】
的人士向记者	的人士【向】記者
运动技术学院	運動技【術】學院
多少年过去了	多少年過去【了】
男儿志在四方	男兒【志】在四方
向媒体通报了	【向】媒體通報【了】
事务管理制度	事務管理【制】度
的名字出现在	的名字【出】現在
克什米尔问题	【克】什米爾問題
再也抑制不住	再也抑【制】不住
在同一个时间	在【同】一個時間
制造工业部门	【制】造工業部門
虚拟的世界里	虛擬的世界【里】
奥运会做准备	奧運會做【準】備
这不是明摆着	這不是明【擺】著
我明天就回家	我明天就【回】家
台北寂寞部屋	【臺】北寂寞部屋
我找不到方向	我找不到方【向】
报名参加高考	報名【參】加高考
本周晚些时候	本【周】晚些時候
在随后进行的	在隨【後】進行的
面对生活中的	【面】對生活中的
最大光圈范围	最大光圈【範】圍
参议院多数党	【參】議院多數【黨】
电气设备标准	電氣設備標【準】
巴勒斯坦方面	巴勒斯坦方【面】
冻得瑟瑟发抖	凍得瑟瑟【發】抖
不过没有关系	不過沒有關【係】
在角落里哭泣	在角落【里】哭泣
人死不能复生	人死不能【復】生
无论刮风下雨	無論【刮】風下雨
胜过千言万语	勝過【千】言【萬】語
知道为了什么	知道爲【了】什麼
我忽然想起了	我忽然想起【了】
强制访问控制	強【制】訪問控【制】
回宿舍的路上	【回】宿【舍】的路上
我在这里等你	我在這【里】等你
我们有共同的	我們有共【同】的
上市公司回购	上市公司【回】購
回到了原来的	【回】到【了】原來的
一个幸福美满	一個【幸】福美滿
新闻发言人武	新聞【發】言人武
自己注意身体	自己【注】意身體
总统府发言人	總統府【發】言人
发生正面冲突	【發】生正【面】【衝】突
面向连接协议	【面】【向】連接協議
盎格鲁萨克逊	盎格魯薩【克】遜
一切烟消云散	一切【煙】消【雲】散
在这个季节里	在這個季節【里】
我国网络游戏	我國網絡【遊】戲
历史人文地理	【歷】史人文地理
单边行动计划	單邊行動計【劃】
表示强烈反对	【表】示強烈反對
我学会了珍惜	我學會【了】珍惜
只有一个原因	【只】有一個原因
发行股票方案	【發】行股票方案
忘不了忘不了	忘不【了】忘不【了】
你发的什么啊	你【發】的什麼啊
玩家密切关注	玩家密切關【注】
士兵在伊拉克	士兵在伊拉【克】
别问我为什么	【別】問我爲什麼
过着幸福快乐	過著【幸】福快樂
新闻发言人焦	新聞【發】言人焦
两岸关系朝着	兩岸關【係】朝著
只能听天由命	【只】能聽天由命
伊拉克战争和	伊拉【克】戰爭和
发现自己喜欢	【發】現自己喜歡
气得说不出话	氣得說不【出】話
最近几个月来	最近【幾】個月來
成为万众瞩目	成爲【萬】眾矚目
奥运会上获得	奧運會上【獲】得
工作人员编制	工作人員編【制】
也是一种乐趣	也是一【種】樂趣
我这里没有啊	我這【里】沒有啊
为了一个女人	爲【了】一個女人
共和党众议员	共和【黨】眾議員
嘴里念念有词	嘴【里】念念有詞
恢复六方会谈	恢【復】六方會談
电视台报道称	電視【臺】報道稱
的态度去面对	的態度去【面】對
也许只是一个	也許【只】是一個
地图信息系统	地圖信息【係】統
女人心海底针	女人心海底【針】
这一段时间里	這一段時間【里】
把自己当回事	把自己【當】【回】事
说不出的难受	說不【出】的難受
漂亮的小姑娘	漂亮的小姑【娘】
已经泪流满面	已經淚流滿【面】
考虑范围之内	考慮【範】圍之內
有关突发事件	有關突【發】事件
在人际关系上	在人際關【係】上
只是一厢情愿	【只】是一廂情願
只是因为我们	【只】是因爲我們
民族网络游戏	民族網絡【遊】戲
在你面前流泪	在你【面】前流淚
提出强烈抗议	提【出】強烈抗議
过了一个小时	過【了】一個小時
我明天就走了	我明天就走【了】
怎么样才算是	怎麼樣【才】算是
我找到了自己	我找到【了】自己
土地信息系统	土地信息【係】統
在当地引起了	在【當】地引起【了】
很幸福很幸福	很【幸】福很【幸】福
我该如何面对	我該如何【面】對
就是为了寻找	就是爲【了】尋找
几乎每一个人	【幾】乎每一個人
让玩家在游戏	讓玩家在【遊】戲
中国人寿集团	中國人壽集【團】
不要开玩笑了	不要開玩笑【了】
我已经知足了	我已經知足【了】
对此表示赞同	對此【表】示贊【同】
复杂数据类型	【復】雜數【據】類型
固定式升降机	固定式【升】降機
千万不要告诉	【千】【萬】不要告訴
期房销售面积	期房銷售【面】積
已经记不清了	已經記不清【了】
许多年过去了	許多年過去【了】
纵有千种风情	縱有【千】【種】風情
一起出去吃饭	一起【出】去吃飯
真是欲哭无泪	真是【欲】哭無淚
你会发现其实	你會【發】現其實
应该差不多了	應該差不多【了】
没有勾心斗角	沒有勾心【鬭】角
永远在我心里	永遠在我心【里】
俄罗斯代表团	俄羅斯代【表】【團】
财政大臣布朗	財政大臣【佈】朗
在公共厕所里	在公共廁所【里】
只能打两个字	【只】能打兩個字
煤矿发生特大	煤礦【發】生特大
中国党和政府	中國【黨】和政府
这是自动回复	這是自動【回】【復】
期货公司应当	期貨公司應【當】
没有注意到我	沒有【注】意到我
再这样下去了	再這樣下去【了】
电中央气象台	電中央氣象【臺】
坐在沙发上的	坐在沙【發】上的
中心发射升空	中心【發】射【升】空
又有什么不同	又有什麼不【同】
雷霆万钧之势	雷霆【萬】鈞之勢
只是为了自己	【只】是爲【了】自己
千万不要随便	【千】【萬】不要隨便
发信息给我啊	【發】信息給我啊
早就准备好了	早就【準】備好【了】
办公信息系统	辦公信息【係】統
不应该发生的	不應該【發】生的
也是一种选择	也是一【種】選擇
的时候出现在	的時候【出】現在
爱你我不后悔	愛你我不【後】悔
草原生态系统	草原生態【係】統
只在一念之间	【只】在一念之間
巴基斯坦方面	巴基斯坦方【面】
那是怎么回事	那是怎麼【回】事
来这里干什么	來這【里】【幹】什麼
双方发生争执	雙方【發】生爭執
有些出乎意料	有些【出】乎意料
发生了一件事	【發】生【了】一件事
先发制人打击	先【發】【制】人打擊
我当时就觉得	我【當】時就覺得
似乎已经成了	似乎已經成【了】
他们才是真正	他們【才】是真正
永远停在那里	永遠停在那【里】
早已不复存在	早已不【復】存在
千不该万不该	【千】不該【萬】不該
就此发表评论	就此【發】【表】評論
真正了解自己	真正【了】解自己
同中国的关系	【同】中國的關【係】
复方鱼腥草片	【復】方魚腥草片
不小心碰到了	不小心碰到【了】
学得怎么样了	學得怎麼樣【了】
央行数据显示	央行數【據】顯示
只是一个过程	【只】是一個過程
参加普通高考	【參】加普通高考
工业发展基金	工業【發】展基金
周围神经系统	【周】圍神經【係】統
布什政府正在	【佈】什政府正在
一时多少豪杰	一時多少豪【傑】
总有一种约束	總有一【種】約束
就是那么回事	就是那麼【回】事
直到最后一刻	直到最【後】一刻
已经开始准备	已經開始【準】備
农业信息系统	農業信息【係】統
喘不过气来了	喘不過氣來【了】
似乎感觉到了	似乎感覺到【了】
也不会回来了	也不會【回】來【了】
只有一个人的	【只】有一個人的
我们最后一次	我們最【後】一次
散发出淡淡的	散【發】【出】淡淡的
终日以泪洗面	終日以淚洗【面】
我明白了什么	我明白【了】什麼
我明白了一个	我明白【了】一個
采取一致行动	【採】取一【致】行動
施密特触发器	施密特觸【發】器
出租车停车场	【出】租車停車場
作出最后决定	作【出】最【後】決定
弹道导弹防御	彈道導彈防【御】
当天晚些时候	【當】天晚些時候
半决赛首回合	半決賽首【回】合
工作程序标准	工作程序標【準】
现在在那里呢	現在在那【里】呢
已经走到尽头	已經走到【盡】頭
心里已经有了	心【里】已經有【了】
受不了的就是	受不【了】的就是
拒绝接受采访	拒絕接受【採】訪
深思熟虑之后	深思熟慮之【後】
只是随便说说	【只】是隨便說說
我们共同走过	我們共【同】走過
在伊拉克首都	在伊拉【克】首都
哪怕只是一个	哪怕【只】是一個
究竟怎么回事	究竟怎麼【回】事
走出患得患失	走【出】患得患失
不愉快的经历	不愉快的經【歷】
气象台发布了	氣象【臺】【發】【佈】【了】
我的幸福时光	我的【幸】福時光
我已经说过了	我已經說過【了】
都不放在眼里	都不放在眼【里】
赶到案发现场	趕到案【發】現場
发自内心深处	【發】自內心深處
也是一种美德	也是一【種】美德
有时间再联系	有時間再聯【係】
不应该出现在	不應該【出】現在
有种说不出来	有【種】說不【出】來
必须努力学习	必【須】努力學習
签署了一系列	【籖】署【了】一【係】列
只有一个目标	【只】有一個目標
发思古之幽情	【發】思古之幽情
一向被认为是	一【向】被認爲是
只是为了满足	【只】是爲【了】滿足
世界杯开始了	世界杯開始【了】
累得气喘吁吁	纍得氣喘【籲】【籲】
标准编制说明	標【準】編【制】說明
选择这种方式	選擇這【種】方式
广发证券总裁	廣【發】證券總裁
别人的同时也	【別】人的【同】時也
究竟是怎么了	究竟是怎麼【了】
新华社记者周	新華社記者【周】
除了吃饭睡觉	除【了】吃飯睡覺
改善两岸关系	改善兩岸關【係】
落实共同声明	落實共【同】聲明
并非没有可能	【並】非沒有可能
将要发生什么	將要【發】生什麼
付出我的全部	付【出】我的全部
那就不打扰了	那就不打擾【了】
她们在哪里呀	她們在哪【里】呀
实行单向收费	實行單【向】收費
费尽千辛万苦	費【盡】【千】辛【萬】苦
增加产品品种	增加產品品【種】
心里说不出的	心【里】說不【出】的
我要睡觉去了	我要睡覺去【了】
知道我在这里	知道我在這【里】
亲者痛仇者快	親者痛【仇】者快
一直没有发现	一直沒有【發】現
理由只有一个	理由【只】有一個
玩家进入游戏	玩家進入【遊】戲
热水供应系统	熱水供應【係】統
以后该怎么办	以【後】該怎麼辦
也许只是因为	也許【只】是因爲
渐渐喜欢上了	漸漸喜歡上【了】
可能只有一个	可能【只】有一個
给了我很多的	給【了】我很多的
世间总有一种	世間總有一【種】
奥特兰克山谷	奧特蘭【克】山【谷】
流动注射分析	流動【注】射分析
万事达卡国际	【萬】事達卡國際
手术非常成功	手【術】非常成功
没有勇气面对	沒有勇氣【面】對
着实吓了一跳	著實嚇【了】一跳
想不出更好的	想不【出】更好的
标准输入文件	標【準】輸入文件
智能决策系统	智能決策【係】統
气吞万里如虎	氣吞【萬】【里】如虎
花了那么多钱	花【了】那麼多錢
我有男朋友了	我有男朋友【了】
认真填写意向	認真填寫意【向】
第一次出远门	第一次【出】遠門
梦后楼台高锁	夢【後】樓【臺】高鎖
最近忙什么了	最近忙什麼【了】
并不会因此而	【並】不會因此而
并不代表什么	【並】不代【表】什麼
我和你写不出	我和你寫不【出】
神经精神症状	神經精神【症】狀
怎么了生气了	怎麼【了】生氣【了】
公布股改方案	公【佈】股改方案
表现相当不错	【表】現相【當】不錯
一步一步走出	一步一步走【出】
系统使用型号	【係】統使用型號
发现自己已深	【發】現自己已深
客户身份识别	客戶身份識【別】
远隔千山万水	遠隔【千】山【萬】水
前怕狼后怕虎	前怕狼【後】怕虎
已经无法挽回	已經無法【挽】【回】
也对记者表示	也對記者【表】示
从哈萨克斯坦	從哈薩【克】斯坦
永无出头之日	永無【出】頭之日
已经无所谓了	已經無所謂【了】
经历了无数的	經【歷】【了】無數的
一时说不出话	一時說不【出】話
网络游戏研发	網絡【遊】戲研【發】
回避这个问题	【回】避這個問題
后悔有什么用	【後】悔有什麼用
斯里兰卡总统	斯【里】蘭卡總統
就是开不了口	就是開不【了】口
回到现实中来	【回】到現實中來
沙发上睡着了	沙【發】上睡著【了】
关起来只留下	關起來【只】留下
的爱只有一次	的愛【只】有一次
要付出的代价	要付【出】的代價
不过现在好了	不過現在好【了】
进入了倒计时	進入【了】倒計時
我看到了很多	我看到【了】很多
我刚才出去了	我剛【才】【出】去【了】
怎么不说话了	怎麼不說話【了】
注重书本知识	【注】重書本知識
小天后蔡依林	小天【後】蔡依林
在伊拉克南部	在伊拉【克】南部
自民党干事长	自民【黨】【幹】事長
什么样的表情	什麼樣的【表】情
伊拉克电视台	伊拉【克】電視【臺】
发动恐怖袭击	【發】動恐怖襲擊
一切都是轮回	一切都是輪【回】
一起玩游戏网	一起玩【遊】戲網
海通证券借壳	海通證券【借】殼
不要说废话了	不要說廢話【了】
两岸共同市场	兩岸共【同】市場
医疗保健制度	醫療保健【制】度
纽约尼克斯队	紐約尼【克】斯隊
焦虑性神经症	焦慮性神經【症】
爱情也是一种	愛情也是一【種】
我就喜欢上了	我就喜歡上【了】
早已荡然无存	早已【蕩】然無存
你在干什么了	你在【幹】什麼【了】
联通彩铃业务	聯通【彩】鈴業務
其他网络游戏	其他網絡【遊】戲
在大家的面前	在大家的【面】前
只能躺在床上	【只】能躺在床上
电子出版系统	電子【出】版【係】統
有着说不出的	有著說不【出】的
任何联系方式	任何聯【係】方式
我学会了放弃	我學會【了】放棄
甘露醇注射液	甘露醇【注】射液
那里做什么呀	那【里】做什麼呀
这并不是一件	這【並】不是一件
散发着诱人的	散【發】著誘人的
有时间上网了	有時間上網【了】
辐射采暖系统	輻射【採】暖【係】統
我都想死你了	我都想死你【了】
之后我才发现	之【後】我【才】【發】現
发现自己其实	【發】現自己其實
熟女欲望日记	熟女【欲】望日記
也是一种伤害	也是一【種】傷害
我们一起出去	我們一起【出】去
美国布什政府	美國【佈】什政府
当时也不知道	【當】時也不知道
这段时间发生	這段時間【發】生
点击进入网游	點擊進入網【遊】
这件事情发生	這件事情【發】生
习惯了就好了	習慣【了】就好【了】
微距对焦范围	微距對焦【範】圍
恐怖袭击发生	恐怖襲擊【發】生
据新华社专电	【據】新華社專電
页面描述语言	頁【面】描述語言
考上了研究生	考上【了】研究生
毕竟只是一个	畢竟【只】是一個
应用开发工具	應用開【發】工具
再也受不了了	再也受不【了】【了】
一种不可思议	一【種】不可思議
本科艺术院校	本科藝【術】院校
男女朋友关系	男女朋友關【係】
第一时间出现	第一時間【出】現
强烈的占有欲	強烈的【佔】有【欲】
广大香港同胞	廣大香港【同】胞
主帅埃里克森	主帥埃【里】【克】森
解郁安神颗粒	解【鬱】安神顆粒
汽车凹陷修复	汽車凹陷修【復】
辛苦了一辈子	辛苦【了】一輩子
