11
论坛	論壇
雾松	霧【鬆】
多冲	多【衝】
后角	【後】角
祖制	祖【制】
朱槿	【朱】槿
秋忆	【秋】憶
植发	植【發】
喜舍	喜【舍】
纳里	納【里】
克列	【克】列
五同	五【同】
发霜	【發】霜
雨布	雨【佈】
须达	【須】達
夸得	【誇】得
灯彩	燈【彩】
撬了	撬【了】
汇划	【匯】【劃】
忘向	忘【向】
几阵	【幾】陣
即须	即【須】
桂云	桂【雲】
游吗	【遊】嗎
布赫	【佈】赫
银松	銀【鬆】
泛了	泛【了】
天幸	天【幸】
吊袜	【吊】襪
施划	施【劃】
木须	木【須】
照表	照【表】
鞣制	鞣【制】
赢后	贏【後】
冲车	【衝】車
冲厕	【衝】廁
没折	沒【折】
面问	【面】問
其冲	其【衝】
秋玲	【秋】玲
注译	【注】譯
如蒙	如【蒙】
朱温	【朱】溫
采在	【採】在
视向	視【向】
老仆	老【僕】
缴回	繳【回】
岩先	【巖】先
放尽	放【盡】
绿板	綠【板】
沙了	沙【了】
几星	【幾】星
烟度	【煙】度
空表	空【表】
伙子	【夥】子
烙制	烙【制】
划花	【劃】花
周婷	【周】婷
采珠	【採】珠
麟游	麟【遊】
折迭	【折】迭
新系	新【係】
发屋	【發】屋
领出	領【出】
荡尽	【蕩】【盡】
另种	另【種】
周老	【周】老
当春	【當】春
复性	【復】性
只类	【只】類
卤制	【滷】【制】
娇娘	嬌【娘】
根须	根【須】
面浆	【面】漿
闲荡	閑【蕩】
志义	【志】義
给种	給【種】
泳坛	泳【壇】
戚友	【戚】友
量回	量【回】
共面	共【面】
稍干	稍【幹】
万卡	【萬】卡
胡尔	【胡】爾
渔获	漁【獲】
族系	族【係】
同权	【同】權
当劳	【當】勞
座台	座【臺】
当尽	【當】【盡】
板才	【板】【才】
沈约	【瀋】約
那娘	那【娘】
范福	【範】福
系会	【係】會
端板	端【板】
干土	【幹】土
钓台	釣【臺】
大尽	大【盡】
法团	法【團】
发比	【發】比
仪制	儀【制】
制铁	【制】鐵
郁闭	【鬱】閉
条几	條【幾】
多丑	多【醜】
斗柄	【鬭】柄
利托	利【托】
几兆	【幾】兆
反卷	反【捲】
汇阳	【匯】陽
好咸	好【咸】
面地	【面】地
板啊	【板】啊
折短	【折】短
莫向	莫【向】
硬干	硬【幹】
应出	應【出】
只龟	【只】龜
瓜了	瓜【了】
唱尽	唱【盡】
周舟	【周】舟
恩彩	恩【彩】
大困	大【困】
只动	【只】動
里包	【里】包
敌占	敵【佔】
柳志	柳【志】
周挺	【周】挺
了鸣	【了】鳴
里事	【里】事
斗魂	【鬭】魂
少杰	少【傑】
苏薇	【蘇】薇
林才	林【才】
蒸面	蒸【面】
布拖	【佈】拖
伯杰	伯【傑】
布杜	【佈】杜
游开	【遊】開
球坛	球【壇】
狠斗	狠【鬭】
云燕	【雲】燕
准证	【準】證
发次	【發】次
满出	滿【出】
间种	間【種】
同穴	【同】穴
灰发	灰【發】
退尽	退【盡】
系太	【係】太
克奇	【克】奇
啊并	啊【並】
尽遣	【盡】遣
炉台	爐【臺】
出奶	【出】奶
胡杰	【胡】【傑】
办别	辦【別】
台缘	【臺】緣
丑就	【醜】就
草舍	草【舍】
沈志	【瀋】【志】
职志	職【志】
丽云	麗【雲】
算系	算【係】
夜暗	夜【暗】
卧游	卧【遊】
两了	兩【了】
方出	方【出】
蜡人	【蠟】人
弄干	弄【幹】
零团	零【團】
回铃	【回】鈴
少征	少【徵】
千穗	【千】【穗】
福才	福【才】
了罚	【了】罰
刮断	【刮】斷
尤须	尤【須】
嗜欲	嗜【欲】
才旦	【才】旦
腌鱼	【醃】魚
姜云	【薑】【雲】
纹面	紋【面】
几翻	【幾】翻
姜味	【薑】味
同群	【同】群
丑土	【醜】土
杂面	雜【面】
胡佛	【胡】佛
敦志	敦【志】
团歌	【團】歌
熏烤	【熏】烤
反致	反【致】
岩穴	【巖】穴
育了	育【了】
拴了	拴【了】
白挨	白【挨】
余言	【餘】言
台省	【臺】省
卿云	卿【雲】
未系	未【係】
咸盐	【咸】鹽
里男	【里】男
克清	【克】清
花云	花【雲】
板刷	【板】刷
团出	【團】【出】
你吊	你【吊】
女里	女【里】
明出	明【出】
吊裙	【吊】裙
复加	【復】加
并邀	【並】邀
喂哺	【餵】哺
出活	【出】活
蒙中	【蒙】中
万志	【萬】【志】
只非	【只】非
同别	【同】【別】
同蒲	【同】蒲
劝回	勸【回】
淀积	【澱】積
采棉	【採】棉
板城	【板】城
改当	改【當】
冬说	【冬】說
终致	終【致】
气表	氣【表】
几至	【幾】至
花针	花【針】
徐云	徐【雲】
设台	設【臺】
尽自	【盡】自
泌出	泌【出】
视台	視【臺】
党新	【黨】新
奇克	奇【克】
彩缤	【彩】繽
尽着	【盡】著
摆拍	【擺】拍
穆克	穆【克】
补注	補【注】
布者	【佈】者
烟色	【煙】色
各干	各【幹】
杏干	杏【幹】
烟田	【煙】田
夸过	【誇】過
原注	原【注】
无获	無【獲】
鬈发	鬈【發】
姜俊	【薑】俊
准据	【準】【據】
卜是	【卜】是
给制	給【制】
冲要	【衝】要
加出	加【出】
发哈	【發】哈
食尽	食【盡】
回空	【回】空
回线	【回】線
发价	【發】價
面泡	【面】泡
朱磊	【朱】磊
吊我	【吊】我
游猎	【遊】獵
吕征	呂【徵】
子表	子【表】
里八	【里】八
云呢	【雲】呢
东谷	東【谷】
复吸	【復】吸
麦种	麥【種】
升成	【升】成
朱克	【朱】【克】
大冬	大【冬】
稳扎	穩【扎】
被复	被【復】
回奶	【回】奶
回及	【回】及
朱启	【朱】啓
冠杰	冠【傑】
安杰	安【傑】
门吊	門【吊】
岩相	【巖】相
浮荡	浮【蕩】
贴板	貼【板】
秋道	【秋】道
云春	【雲】春
果只	果【只】
并案	【並】案
戴表	戴【表】
多借	多【借】
面啦	【面】啦
台吉	【臺】吉
回加	【回】加
驾回	駕【回】
欲请	【欲】請
冲电	【衝】電
杨冬	楊【冬】
水团	水【團】
忍饥	忍【飢】
天松	天【鬆】
发五	【發】五
几员	【幾】員
干子	【幹】子
欲碎	【欲】碎
彩霸	【彩】霸
钟林	【鍾】林
立升	立【升】
绢布	絹【佈】
朴刀	【樸】刀
吴松	吳【鬆】
皱折	皺【折】
系名	【係】名
松对	【鬆】對
坡里	坡【里】
几团	【幾】【團】
同看	【同】看
摆台	【擺】【臺】
堪当	堪【當】
形参	形【參】
后躯	【後】軀
朱彤	【朱】彤
同仇	【同】【仇】
黄面	黃【面】
艰困	艱【困】
似烟	似【煙】
胡清	【胡】清
并条	【並】條
扳了	扳【了】
暗澹	【暗】澹
小钟	小【鍾】
沈浪	【瀋】浪
小准	小【準】
苏雷	【蘇】雷
暗斑	【暗】斑
气里	氣【里】
灭团	滅【團】
代出	代【出】
恶声	【惡】聲
骑出	騎【出】
同甘	【同】甘
团啊	【團】啊
你里	你【里】
卷布	【捲】【佈】
当雪	【當】雪
克我	【克】我
乐丰	樂【豐】
吉药	吉【藥】
凶年	【兇】年
罗云	羅【雲】
彩打	【彩】打
出粮	【出】糧
葛布	葛【佈】
唐云	唐【雲】
姓苏	姓【蘇】
志福	【志】福
而系	而【係】
过克	過【克】
采邑	【採】邑
术小	【術】小
兴复	興【復】
舍维	【舍】維
旅发	旅【發】
复耕	【復】耕
飞尽	飛【盡】
刊了	刊【了】
棍术	棍【術】
几任	【幾】任
魔御	魔【御】
屯里	屯【里】
纸雕	紙【雕】
撒克	撒【克】
女丑	女【醜】
毒术	毒【術】
领汇	領【匯】
名苏	名【蘇】
注出	【注】【出】
炮了	炮【了】
硬岩	硬【巖】
万强	【萬】強
解签	解【籖】
观台	觀【臺】
京丰	京【豐】
孟冬	孟【冬】
周欣	【周】欣
加扎	加【扎】
又咸	又【咸】
占山	【佔】山
姜福	【薑】福
冬修	【冬】修
鸟种	鳥【種】
云学	【雲】學
暗光	【暗】光
布阿	【佈】阿
议了	議【了】
须办	【須】辦
会准	會【準】
安彩	安【彩】
顶回	頂【回】
天汇	天【匯】
系留	【係】留
克华	【克】華
面碗	【面】碗
别裁	【別】裁
茎干	莖【幹】
蒙脸	【蒙】臉
只插	【只】插
哄睡	【哄】睡
都表	都【表】
词坛	詞【壇】
锥面	錐【面】
签认	【籖】認
菜干	菜【幹】
武曲	武【曲】
沈某	【瀋】某
刮进	【刮】進
允准	允【準】
峰回	峰【回】
了界	【了】界
云秀	【雲】秀
彩船	【彩】船
挪出	挪【出】
借喻	【借】喻
尽散	【盡】散
斗吧	【鬭】吧
波面	波【面】
准信	【準】信
芦台	蘆【臺】
只涂	【只】塗
制桶	【制】桶
只适	【只】適
万毒	【萬】毒
松掉	【鬆】掉
同租	【同】租
挨门	【挨】門
发吴	【發】吳
哲别	哲【別】
坡向	坡【向】
政志	政【志】
卷盘	【捲】盤
几克	【幾】【克】
余丁	【餘】丁
摆来	【擺】來
羊舍	羊【舍】
志毅	【志】毅
云翳	【雲】翳
灌药	灌【藥】
云豆	【雲】豆
错别	錯【別】
球出	球【出】
鼓面	鼓【面】
梁高	【樑】高
梁说	【樑】說
团林	【團】林
情里	情【里】
横出	橫【出】
一杰	一【傑】
划至	【劃】至
展布	展【佈】
波荡	波【蕩】
咪表	咪【表】
三复	三【復】
回交	【回】交
筑垒	【築】壘
系词	【係】詞
须转	【須】轉
摆宴	【擺】宴
笼舍	籠【舍】
云远	【雲】遠
得岩	得【巖】
咸池	【咸】池
游湖	【遊】湖
无党	無【黨】
托庇	【托】庇
术科	【術】科
借看	【借】看
它回	它【回】
对当	對【當】
胡建	【胡】建
克军	【克】軍
学发	學【發】
松科	【鬆】科
复姓	【復】姓
才谈	【才】談
简并	簡【並】
骗奸	騙【奸】
后围	【後】圍
阿彩	阿【彩】
托车	【托】車
苏米	【蘇】米
己欲	己【欲】
续表	續【表】
只演	【只】演
板脸	【板】臉
同县	【同】縣
多烟	多【煙】
只定	【只】定
别请	【別】請
周其	【周】其
朱珠	【朱】珠
恨别	恨【別】
并并	【並】【並】
砾岩	礫【巖】
后影	【後】影
采回	【採】【回】
雪克	雪【克】
是卜	是【卜】
秋云	【秋】【雲】
桌板	桌【板】
女干	女【幹】
水针	水【針】
别象	【別】象
后架	【後】架
常志	常【志】
朱墨	【朱】墨
霍里	霍【里】
茨杰	茨【傑】
复训	【復】訓
台口	【臺】口
发粉	【發】粉
激了	激【了】
几批	【幾】批
晤面	晤【面】
姆松	姆【鬆】
发潮	【發】潮
酥松	酥【鬆】
只于	【只】於
坐向	坐【向】
暗管	【暗】管
朱之	【朱】之
何云	何【雲】
黑穗	黑【穗】
卖烟	賣【煙】
御寇	【御】寇
卜筮	【卜】筮
干老	【幹】老
沈鹏	【瀋】鵬
占理	【佔】理
同受	【同】受
当票	【當】票
准奏	【準】奏
当云	【當】【雲】
里嘛	【里】嘛
秋冻	【秋】凍
当谁	【當】誰
经术	經【術】
向个	【向】個
只追	【只】追
呦喂	呦【餵】
扩种	擴【種】
朱斌	【朱】斌
万仞	【萬】仞
出圃	【出】圃
天斗	天【鬭】
采诗	【採】詩
须配	【須】配
暗面	【暗】【面】
布菜	【佈】菜
当泪	【當】淚
宠了	寵【了】
出管	【出】管
踏向	踏【向】
帘栊	【簾】櫳
四胡	四【胡】
系点	【係】點
清党	清【黨】
游手	【遊】手
一挽	一【挽】
周庆	【周】慶
划行	【劃】行
苏瑞	【蘇】瑞
图别	圖【別】
干仗	【幹】仗
糕团	糕【團】
难托	難【托】
范姜	【範】【薑】
幼托	幼【托】
五术	五【術】
流彩	流【彩】
老秋	老【秋】
运征	運【徵】
出窑	【出】窯
与舍	與【舍】
碳板	碳【板】
朴方	【樸】方
被哄	被【哄】
棋布	棋【佈】
以当	以【當】
稀里	稀【里】
大游	大【遊】
几尽	【幾】【盡】
别里	【別】【里】
只跳	【只】跳
玩团	玩【團】
尽复	【盡】【復】
沈滞	【瀋】滯
几尾	【幾】尾
丑怪	【醜】怪
超升	超【升】
并帮	【並】幫
车斗	車【鬭】
只握	【只】握
台铁	【臺】鐵
托派	【托】派
只挑	【只】挑
岛柜	島【櫃】
周旭	【周】旭
台石	【臺】石
裁出	裁【出】
御府	【御】府
同耀	【同】耀
胡海	【胡】海
卜辞	【卜】辭
斗口	【鬭】口
钩了	鉤【了】
朱阁	【朱】閣
我舍	我【舍】
犯冲	犯【衝】
苏方	【蘇】方
里报	【里】報
苏说	【蘇】說
历一	【歷】一
泵出	泵【出】
踏云	踏【雲】
回班	【回】班
吐尽	吐【盡】
岁出	歲【出】
据胡	【據】【胡】
朱鹮	【朱】䴉
说党	說【黨】
彩通	【彩】通
大秋	大【秋】
禽舍	禽【舍】
后滨	【後】濱
苏达	【蘇】達
余值	【餘】值
郑杰	鄭【傑】
笔致	筆【致】
向使	【向】使
只答	【只】答
板眼	【板】眼
暗沟	【暗】溝
十曲	十【曲】
很冲	很【衝】
沈岿	【瀋】巋
余丽	【餘】麗
么几	麼【幾】
欲断	【欲】斷
神术	神【術】
很历	很【歷】
佰万	佰【萬】
云吗	【雲】嗎
定准	定【準】
给娘	給【娘】
毛面	毛【面】
说里	說【里】
刀扎	刀【扎】
扬升	揚【升】
云姐	【雲】姐
发纹	【發】紋
走尽	走【盡】
回起	【回】起
卷片	【捲】片
冬香	【冬】香
致肥	【致】肥
回租	【回】租
鱼获	魚【獲】
秋节	【秋】節
几列	【幾】列
万庆	【萬】慶
留针	留【針】
流回	流【回】
降回	降【回】
托把	【托】把
才饮	【才】飲
云际	【雲】際
深恶	深【惡】
才我	【才】我
呀几	呀【幾】
里轰	【里】轟
占在	【佔】在
征期	【徵】期
罗致	羅【致】
尽美	【盡】美
同顺	【同】順
向刚	【向】剛
丑和	【醜】和
南针	南【針】
摆幅	【擺】幅
镍板	鎳【板】
周玲	【周】玲
如干	如【幹】
分党	分【黨】
着云	著【雲】
布罩	【佈】罩
朱英	【朱】英
了佐	【了】佐
送发	送【發】
荡过	【蕩】過
吊孝	【吊】孝
布垫	【佈】墊
段云	段【雲】
瑜卤	瑜【滷】
同呢	【同】呢
胡泽	【胡】澤
付托	付【托】
扎里	【扎】【里】
朱兰	【朱】蘭
翻折	翻【折】
没借	沒【借】
只通	【只】通
孟获	孟【獲】
伍万	伍【萬】
筑梦	【築】夢
薄布	薄【佈】
花钟	花【鍾】
重当	重【當】
唔制	唔【制】
向黎	【向】黎
几到	【幾】到
当应	【當】應
总了	總【了】
苏樱	【蘇】櫻
郁热	【鬱】熱
逆回	逆【回】
板根	【板】根
彩女	【彩】女
衬布	襯【佈】
冬藏	【冬】藏
硬挨	硬【挨】
欲雨	【欲】雨
款曲	款【曲】
曲梁	【曲】【樑】
发仔	【發】仔
束了	束【了】
干嚎	【幹】嚎
周源	【周】源
吊得	【吊】得
项炼	項【煉】
七娘	七【娘】
克平	【克】平
制镜	【制】鏡
划有	【劃】有
向宇	【向】宇
游春	【遊】春
经曲	經【曲】
细布	細【佈】
余某	【餘】某
老钟	老【鍾】
烟店	【煙】店
烟光	【煙】光
沈丹	【瀋】丹
老台	老【臺】
朱帅	【朱】帥
胡瑶	【胡】瑤
潘云	潘【雲】
汇水	【匯】水
干漆	【幹】漆
获判	【獲】判
残冬	殘【冬】
敏杰	敏【傑】
张梁	張【樑】
急须	急【須】
松身	【鬆】身
干员	【幹】員
后集	【後】集
姜丰	【薑】【豐】
泊松	泊【鬆】
曹参	曹【參】
抚面	撫【面】
忙后	忙【後】
停几	停【幾】
胡狼	【胡】狼
折行	【折】行
秋娘	【秋】【娘】
志凯	【志】凱
苏茜	【蘇】茜
景了	景【了】
赢余	贏【餘】
冲鼻	【衝】鼻
烟土	【煙】土
铭板	銘【板】
千机	【千】機
骨板	骨【板】
出祸	【出】禍
布票	【佈】票
克做	【克】做
只获	【只】【獲】
周太	【周】太
暗刻	【暗】刻
胡兰	【胡】蘭
借人	【借】人
亨克	亨【克】
暗着	【暗】著
落台	落【臺】
尽能	【盡】能
台吗	【臺】嗎
座里	座【里】
划帐	【劃】帳
朱林	【朱】林
按里	按【里】
周显	【周】顯
御侮	【御】侮
通里	通【里】
洛扎	洛【扎】
蒙眬	【蒙】矓
货种	貨【種】
松萝	【鬆】蘿
整党	整【黨】
眼药	眼【藥】
几就	【幾】就
松毛	【鬆】毛
慕云	慕【雲】
须学	【須】學
冬晨	【冬】晨
斗着	【鬭】著
钙板	鈣【板】
同积	【同】積
同死	【同】死
钟玲	【鍾】玲
回读	【回】讀
一栗	一【慄】
姜波	【薑】波
伪托	僞【托】
朱玲	【朱】玲
乔致	喬【致】
岂只	豈【只】
秋鞋	【秋】鞋
斜谷	斜【谷】
克药	【克】【藥】
匣里	匣【里】
线冲	線【衝】
症侯	【症】侯
干哈	【幹】哈
奸恶	【奸】【惡】
季秋	季【秋】
前仇	前【仇】
暗堡	【暗】堡
布边	【佈】邊
版台	版【臺】
潜药	潛【藥】
丰荣	【豐】榮
党恩	【黨】恩
斗啊	【鬭】啊
拉纤	拉【纖】
婚托	婚【托】
同度	【同】度
发尖	【發】尖
秦丰	秦【豐】
灵杰	靈【傑】
梁有	【樑】有
信汇	信【匯】
出词	【出】詞
岩盐	【巖】鹽
山同	山【同】
硬板	硬【板】
准线	【準】線
分系	分【係】
媚药	媚【藥】
夺志	奪【志】
周玮	【周】瑋
店伙	店【夥】
补台	補【臺】
范剑	【範】劍
蓄须	蓄【須】
摸回	摸【回】
恶质	【惡】質
朱勇	【朱】勇
白参	白【參】
冲蚀	【衝】蝕
豆种	豆【種】
转注	轉【注】
大辟	大【闢】
丰汇	【豐】【匯】
收刮	收【刮】
篓里	簍【里】
奸谋	【奸】謀
须备	【須】備
同距	【同】距
克仁	【克】仁
带板	帶【板】
参试	【參】試
回青	【回】青
章杰	章【傑】
乱冲	亂【衝】
凶横	【兇】橫
泻了	瀉【了】
狞恶	獰【惡】
丑话	【醜】話
鹿台	鹿【臺】
十团	十【團】
能别	能【別】
后屈	【後】屈
出闸	【出】閘
没烟	沒【煙】
万圆	【萬】圓
纸托	紙【托】
海克	海【克】
跳荡	跳【蕩】
羞恶	羞【惡】
奸党	【奸】【黨】
月暗	月【暗】
发癫	【發】癲
除蜡	除【蠟】
像哄	像【哄】
来穗	來【穗】
采女	【採】女
海布	海【佈】
烟馆	【煙】館
刮平	【刮】平
吊住	【吊】住
驻穗	駐【穗】
朱正	【朱】正
志广	【志】廣
敬烟	敬【煙】
锋面	鋒【面】
麓谷	麓【谷】
里萨	【里】薩
不托	不【托】
派团	派【團】
面同	【面】【同】
张出	張【出】
嚼蜡	嚼【蠟】
席面	席【面】
出边	【出】邊
悲了	悲【了】
你丑	你【醜】
后父	【後】父
万刚	【萬】剛
慕克	慕【克】
护了	護【了】
丝卷	絲【捲】
七发	七【發】
人哄	人【哄】
别府	【別】府
黑克	黑【克】
冲虚	【衝】虛
窝了	窩【了】
苗药	苗【藥】
们党	們【黨】
冲及	【衝】及
亦获	亦【獲】
获聘	【獲】聘
头曲	頭【曲】
烟霭	【煙】靄
爱尝	愛【嘗】
卷无	【捲】無
彪了	彪【了】
须送	【須】送
须视	【須】視
同渡	【同】渡
拱出	拱【出】
汇民	【匯】民
老向	老【向】
斗犬	【鬭】犬
其了	其【了】
冬新	【冬】新
暗昧	【暗】昧
摆臂	【擺】臂
复航	【復】航
尽寒	【盡】寒
才排	【才】排
钟铃	【鍾】鈴
递回	遞【回】
秋英	【秋】英
宏才	宏【才】
相系	相【係】
游兴	【遊】興
是幸	是【幸】
描了	描【了】
角台	角【臺】
马占	馬【佔】
针黹	【針】黹
升限	【升】限
积云	積【雲】
当雨	【當】雨
后帐	【後】帳
汇为	【匯】爲
泼脏	潑【髒】
放烟	放【煙】
同联	【同】聯
拉松	拉【鬆】
团讯	【團】訊
复色	【復】色
后输	【後】輸
系结	【係】結
键面	鍵【面】
押汇	押【匯】
痛当	痛【當】
弄僵	弄【僵】
迟后	遲【後】
招干	招【幹】
广志	廣【志】
独出	獨【出】
细发	細【發】
布娃	【佈】娃
万汇	【萬】【匯】
梅松	梅【鬆】
整柜	整【櫃】
舍掉	【舍】掉
泪尽	淚【盡】
克玉	【克】玉
同遭	【同】遭
折伞	【折】傘
同站	【同】站
迪布	迪【佈】
易术	易【術】
朱志	【朱】【志】
志颖	【志】穎
钟某	【鍾】某
沙岩	沙【巖】
云强	【雲】強
缓征	緩【徵】
只帮	【只】幫
恶神	【惡】神
回授	【回】授
拷了	拷【了】
几顶	【幾】頂
余火	【餘】火
炼铜	【煉】銅
奇里	奇【里】
摆腿	【擺】腿
辩别	辯【別】
升沉	【升】沉
爆栗	爆【慄】
梁龙	【樑】龍
翠丰	翠【豐】
卷回	【捲】【回】
当里	【當】【里】
乡曲	鄉【曲】
板簧	【板】簧
板硬	【板】硬
暗锁	【暗】鎖
燥了	燥【了】
期汇	期【匯】
袋布	袋【佈】
国仇	國【仇】
列别	列【別】
后晚	【後】晚
云荒	【雲】荒
喜幸	喜【幸】
米发	米【發】
几截	【幾】截
产党	產【黨】
志喜	【志】喜
板糖	【板】糖
催谷	催【谷】
晒台	曬【臺】
同打	【同】打
哎了	哎【了】
宽面	寬【面】
度曲	度【曲】
梦秋	夢【秋】
周雪	【周】雪
系乜	【係】乜
据广	【據】廣
任制	任【制】
号钟	號【鍾】
表压	【表】壓
咸度	【咸】度
致致	【致】【致】
别意	【別】意
恒志	恆【志】
干瘾	【幹】癮
余风	【餘】風
拙朴	拙【樸】
恶因	【惡】因
宿了	宿【了】
绣布	繡【佈】
旌表	旌【表】
痹症	痹【症】
捏制	捏【制】
拍发	拍【發】
买烟	買【煙】
后箱	【後】箱
恶相	【惡】相
恶汉	【惡】漢
板宽	【板】寬
也参	也【參】
死面	死【面】
艳秋	艷【秋】
梁杰	【樑】【傑】
禁术	禁【術】
栏干	欄【幹】
五克	五【克】
辟建	【闢】建
回队	【回】隊
胡松	【胡】【鬆】
志力	【志】力
难复	難【復】
才呀	【才】呀
丑星	【醜】星
发任	【發】任
上托	上【托】
媚术	媚【術】
腹板	腹【板】
表这	【表】這
万艳	【萬】艷
沈船	【瀋】船
王丰	王【豐】
贰万	貳【萬】
干基	【幹】基
翻向	翻【向】
扎挣	【扎】掙
才望	【才】望
周匝	【周】匝
斜板	斜【板】
苏宇	【蘇】宇
诱出	誘【出】
梅庵	梅【庵】
伊扎	伊【扎】
采你	【採】你
胡启	【胡】啓
双困	雙【困】
秋冷	【秋】冷
几室	【幾】室
制伞	【制】傘
去里	去【里】
滤板	濾【板】
后验	【後】驗
暗日	【暗】日
漆雕	漆【雕】
别省	【別】省
烟月	【煙】月
发鬓	【發】鬢
筑室	【築】室
板粟	【板】粟
党产	【黨】產
吊打	【吊】打
暗弱	【暗】弱
占路	【佔】路
砌出	砌【出】
彩依	【彩】依
征联	【徵】聯
表显	【表】顯
沈庆	【瀋】慶
别介	【別】介
初了	初【了】
哪回	哪【回】
困觉	【困】覺
甘松	甘【鬆】
阉党	閹【黨】
体才	體【才】
别试	【別】試
别饿	【別】餓
别接	【別】接
苏澳	【蘇】澳
周芳	【周】芳
回佣	【回】【傭】
无面	無【面】
关几	關【幾】
材种	材【種】
男曲	男【曲】
厢里	廂【里】
宝卷	寶【捲】
沈龙	【瀋】龍
高吊	高【吊】
大穗	大【穗】
岩屑	【巖】屑
面霸	【面】霸
恶来	【惡】來
据唐	【據】唐
熬出	熬【出】
很咸	很【咸】
贞丰	貞【豐】
展获	展【獲】
帽针	帽【針】
速了	速【了】
胡布	【胡】【佈】
注四	【注】四
表姨	【表】姨
又凶	又【兇】
吊塔	【吊】塔
占过	【佔】過
真几	真【幾】
占成	【佔】成
团粒	【團】粒
扶志	扶【志】
占取	【佔】取
只行	【只】行
改恶	改【惡】
全干	全【幹】
苏飞	【蘇】飛
表笔	【表】筆
去冲	去【衝】
见回	見【回】
志当	【志】【當】
漓泉	【漓】泉
几版	【幾】版
别列	【別】列
胡蜂	【胡】蜂
天余	天【餘】
捞针	撈【針】
你汇	你【匯】
这暗	這【暗】
冲张	【衝】張
遗症	遺【症】
云涧	【雲】澗
港了	港【了】
铲出	鏟【出】
啊杰	啊【傑】
扭出	扭【出】
该系	該【係】
罚出	罰【出】
蕾克	蕾【克】
系吧	【係】吧
万鹏	【萬】鵬
蛇谷	蛇【谷】
努里	努【里】
别解	【別】解
侨汇	僑【匯】
并摄	【並】攝
采完	【採】完
纹布	紋【佈】
叼烟	叼【煙】
欲立	【欲】立
后苦	【後】苦
资了	資【了】
易表	易【表】
苏秀	【蘇】秀
帮同	幫【同】
后吹	【後】吹
尾板	尾【板】
下柜	下【櫃】
伞了	傘【了】
彩绸	【彩】綢
游世	【遊】世
须能	【須】能
变面	變【面】
以尝	以【嘗】
云盖	【雲】蓋
云系	【雲】【係】
系比	【係】比
征对	【徵】對
喂乳	【餵】乳
布商	【佈】商
合发	合【發】
板锯	【板】鋸
药山	【藥】山
塑制	塑【制】
别史	【別】史
暗念	【暗】念
出焉	【出】焉
盗采	盜【採】
刀板	刀【板】
胡玫	【胡】玫
冲脉	【衝】脈
系阿	【係】阿
困着	【困】著
曲本	【曲】本
粮种	糧【種】
周辉	【周】輝
千赫	【千】赫
浮面	浮【面】
面杖	【面】杖
竹布	竹【佈】
冲子	【衝】子
吊笼	【吊】籠
据罗	【據】羅
只依	【只】依
系时	【係】時
朱安	【朱】安
窃据	竊【據】
克蒂	【克】蒂
诗余	詩【餘】
钟明	【鍾】明
话同	話【同】
你折	你【折】
晃出	晃【出】
板猪	【板】豬
傲了	傲【了】
里弗	【里】弗
桥吊	橋【吊】
挨你	【挨】你
斗车	【鬭】車
云量	【雲】量
龙杰	龍【傑】
历览	【歷】覽
后胸	【後】胸
发结	【發】結
丑鬼	【醜】鬼
团契	【團】契
曲音	【曲】音
须依	【須】依
只判	【只】判
回令	【回】令
暗送	【暗】送
借脑	【借】腦
院舍	院【舍】
暗疾	【暗】疾
烟粉	【煙】粉
烟杆	【煙】桿
志又	【志】又
梁志	【樑】【志】
多别	多【別】
桥台	橋【臺】
换只	換【只】
主链	主【鏈】
朱武	【朱】武
朱梅	【朱】梅
阿丑	阿【醜】
丑样	【醜】樣
做娘	做【娘】
台斤	【臺】斤
后景	【後】景
丘克	丘【克】
比当	比【當】
狗只	狗【只】
采精	【採】精
周飞	【周】飛
郁卒	【鬱】卒
独当	獨【當】
复名	【復】名
盐制	鹽【制】
克良	【克】良
牵回	牽【回】
穗肥	【穗】肥
退伙	退【夥】
暗到	【暗】到
相冲	相【衝】
额面	額【面】
朱老	【朱】老
余荫	【餘】蔭
君里	君【里】
秋桐	【秋】桐
几你	【幾】你
彩饰	【彩】飾
汉钟	漢【鍾】
座板	座【板】
肠脏	腸【髒】
桑布	桑【佈】
表急	【表】急
没系	沒【係】
里尤	【里】尤
朱颖	【朱】穎
蒂里	蒂【里】
镇恶	鎮【惡】
周嘉	【周】嘉
吊脚	【吊】腳
僵僵	【僵】【僵】
剑斗	劍【鬭】
胡俊	【胡】俊
范徐	【範】徐
同餐	【同】餐
干网	【幹】網
则获	則【獲】
打千	打【千】
都卜	都【卜】
调向	調【向】
曾回	曾【回】
几快	【幾】快
布幔	【佈】幔
宦游	宦【遊】
呀了	呀【了】
晓松	曉【鬆】
仁布	仁【佈】
曲卷	【曲】【捲】
杰布	【傑】【佈】
杰基	【傑】基
托名	【托】名
音准	音【準】
恶迹	【惡】跡
须道	【須】道
环面	環【面】
攻向	攻【向】
死谷	死【谷】
大夸	大【誇】
纸布	紙【佈】
地荡	地【蕩】
铝卷	鋁【捲】
应获	應【獲】
恶狠	【惡】狠
吗了	嗎【了】
朱孟	【朱】孟
立发	立【發】
扎纳	【扎】納
词表	詞【表】
须贴	【須】貼
嗨药	嗨【藥】
吊钟	【吊】【鍾】
借好	【借】好
冲门	【衝】門
据何	【據】何
胡绳	【胡】繩
