与我们联系	與我們聯【係】
一切都发生	一切都【發】生
布莱克本的	【佈】萊【克】本的
发现越来越	【發】現越來越
在那里过的	在那【里】過的
让我们回到	讓我們【回】到
我心里一阵	我心【里】一陣
低工资标准	低工資標【準】
也是一种罪	也是一【種】罪
在当今这个	在【當】今這個
暴露出来了	暴露【出】來【了】
精神的象征	精神的象【徵】
麦克风插孔	麥【克】風插孔
因为我真系	因爲我真【係】
万事不求人	【萬】事不求人
电话里传来	電話【里】傳來
发动新一轮	【發】動新一輪
一只小小鸟	一【只】小小鳥
进行了询问	進行【了】詢問
打出好成绩	打【出】好成績
在不久之后	在不久之【後】
回到现实中	【回】到現實中
精心策划了	精心策【劃】【了】
阻挡不了我	阻擋不【了】我
已经爱上了	已經愛上【了】
计件工资制	計件工資【制】
也有了意义	也有【了】意義
使用费标准	使用費標【準】
伊拉克进行	伊拉【克】進行
只有真正的	【只】有真正的
忙什么了啊	忙什麼【了】啊
针对陈水扁	【針】對陳水扁
你不记得了	你不記得【了】
我已经准备	我已經【準】備
伊拉克大选	伊拉【克】大選
新款蒙迪欧	新款【蒙】迪歐
回到了那个	【回】到【了】那個
已经陷入了	已經陷入【了】
进销存系统	進銷存【係】統
我只想好好	我【只】想好好
毫无准备的	毫無【準】備的
我已经买了	我已經買【了】
像一只小鸟	像一【只】小鳥
几百万美元	【幾】百【萬】美元
散发着一股	散【發】著一股
蓝筹股板块	藍籌股【板】塊
发生的几率	【發】生的【幾】率
历史地图集	【歷】史地圖集
所以没关系	所以沒關【係】
最后还是被	最【後】還是被
以前的同学	以前的【同】學
迷失方向的	迷失方【向】的
特别有意思	特【別】有意思
真的生气了	真的生氣【了】
都不存在了	都不存在【了】
和以往不同	和以往不【同】
相当明显的	相【當】明顯的
烟消云散的	【煙】消【雲】散的
我爱死你了	我愛死你【了】
派出所门口	派【出】所門口
微妙的关系	微妙的關【係】
特别喜欢吃	特【別】喜歡吃
都笑了起来	都笑【了】起來
才是最幸福	【才】是最【幸】福
拉开了距离	拉開【了】距離
他们几个人	他們【幾】個人
就要回家了	就要【回】家【了】
致力于加强	【致】力於加強
十进制数字	十進【制】數字
我不想玩了	我不想玩【了】
成了植物人	成【了】植物人
坐在角落里	坐在角落【里】
推出的新款	推【出】的新款
耳朵里塞着	耳朵【里】塞著
也不要忘了	也不要忘【了】
的是什么了	的是什麼【了】
相继发生了	相繼【發】生【了】
了酸甜苦辣	【了】酸甜苦辣
精明能干的	精明能【幹】的
当然这其中	【當】然這其中
一切尽在不	一切【盡】在不
有时间联系	有時間聯【係】
身体好点了	身體好點【了】
免费留言板	免費留言【板】
一定会发现	一定會【發】現
沉迷系统的	沉迷【係】統的
优异的表现	優異的【表】現
采访结束时	【採】訪結束時
看万山红遍	看【萬】山紅遍
父亲去世后	父親去世【後】
基本面情况	基本【面】情況
不了多久了	不【了】多久【了】
伊拉克高等	伊拉【克】高等
可能过几天	可能過【幾】天
我看到了他	我看到【了】他
还不是特别	還不是特【別】
的消息表明	的消息【表】明
的感觉到了	的感覺到【了】
不到五分钟	不到五分【鍾】
特别工作组	特【別】工作組
斯泽比亚克	斯澤比亞【克】
从怀中掏出	從懷中掏【出】
共发生火灾	共【發】生火災
的理解不同	的理解不【同】
多克隆抗体	多【克】隆抗體
到他的面前	到他的【面】前
之后第二个	之【後】第二個
创造出奇迹	創造【出】奇跡
并非意味着	【並】非意味著
有相当高的	有相【當】高的
向记者出示	【向】記者【出】示
习惯了独自	習慣【了】獨自
一发不可收	一【發】不可收
终于恢复了	終於恢【復】【了】
经历了三次	經【歷】【了】三次
好了你忙吧	好【了】你忙吧
送我上青云	送我上青【雲】
可要注意了	可要【注】意【了】
世界只剩下	世界【只】剩下
都不上网了	都不上網【了】
他们来到了	他們來到【了】
特别是晚上	特【別】是晚上
我送你回家	我送你【回】家
马拉松冠军	馬拉【鬆】冠軍
一一介绍了	一一介紹【了】
万里之外的	【萬】【里】之外的
在床上躺了	在床上躺【了】
所要面对的	所要【面】對的
千万人之中	【千】【萬】人之中
越来越冷了	越來越冷【了】
只要你过得	【只】要你過得
得到了缓解	得到【了】緩解
以后就再也	以【後】就再也
最后交易日	最【後】交易日
无聊的游戏	無聊的【遊】戲
他只不过是	他【只】不過是
夫人蜡像馆	夫人【蠟】像館
克莱斯勒的	【克】萊斯勒的
不是认识了	不是認識【了】
事情过不了	事情過不【了】
我的生命才	我的生命【才】
亲密关系的	親密關【係】的
离开了学校	離開【了】學校
全明星首发	全明星首【發】
记者证实了	記者證實【了】
真的不行了	真的不行【了】
一种心情的	一【種】心情的
民主党领袖	民主【黨】領袖
很可能只是	很可能【只】是
公司的面试	公司的【面】試
七彩棒棒堂	七【彩】棒棒堂
参加婚礼的	【參】加婚禮的
这种疾病的	這【種】疾病的
并不代表你	【並】不代【表】你
疑心生暗鬼	疑心生【暗】鬼
真的长大了	真的長大【了】
千言万语也	【千】言【萬】語也
云南省普洱	【雲】南省普洱
多公里外的	多公【里】外的
找回失去的	找【回】失去的
被警方控制	被警方控【制】
竭尽全力去	竭【盡】全力去
但并不意味	但【並】不意味
自己的同学	自己的【同】學
改变了整个	改變【了】整個
就要小心了	就要小心【了】
贝克汉姆和	貝【克】漢姆和
北斗星的爱	北【鬭】星的愛
不知道干吗	不知道【幹】嗎
我回头一看	我【回】頭一看
开办了一家	開辦【了】一家
大师系列赛	大師【係】列賽
我发现我们	我【發】現我們
提升的同时	提【升】的【同】時
控制流程图	控【制】流程圖
为了你存在	爲【了】你存在
在背后默默	在背【後】默默
设备一览表	設備一覽【表】
忘却了曾经	忘卻【了】曾經
小调进行曲	小調進行【曲】
因此吸引了	因此吸引【了】
参麦注射液	【參】麥【注】射液
昨日向记者	昨日【向】記者
表示深切的	【表】示深切的
你结婚了啊	你結婚【了】啊
含苞欲放的	含苞【欲】放的
上当受骗了	上【當】受騙【了】
这个游戏中	這個【遊】戲中
得到消息后	得到消息【後】
终于揭开了	終於揭開【了】
了风风雨雨	【了】風風雨雨
见最后一面	見最【後】一【面】
不被了解的	不被【了】解的
并没有按照	【並】沒有按照
不会有这种	不會有這【種】
一百万美元	一百【萬】美元
在她的心里	在她的心【里】
系统标准化	【係】統標【準】化
玩家只要在	玩家【只】要在
代表国家队	代【表】國家隊
掘进工作面	掘進工作【面】
不管以后会	不管以【後】會
抽不出时间	抽不【出】時間
双方共同的	雙方共【同】的
克罗地亚人	【克】羅地亞人
我不上学了	我不上學【了】
表演的节目	【表】演的節目
多月过去了	多月過去【了】
出乎很多人	【出】乎很多人
只是因为你	【只】是因爲你
新华网沈阳	新華網【瀋】陽
但后来发现	但【後】來【發】現
我的手机里	我的手機【里】
天气晚来秋	天氣晚來【秋】
给别人打工	給【別】人打工
撤离伊拉克	撤離伊拉【克】
据马来西亚	【據】馬來西亞
抓获嫌疑人	抓【獲】嫌疑人
聚酰胺纤维	聚酰胺【纖】維
在你面前你	在你【面】前你
只认沽权证	【只】認沽權證
郁郁不得志	【鬱】【鬱】不得【志】
布莱尔政府	【佈】萊爾政府
的心都碎了	的心都碎【了】
她点了点头	她點【了】點頭
是苦尽甘来	是苦【盡】甘來
发稿时为止	【發】稿時爲止
你终于来了	你終於來【了】
今天很郁闷	今天很【鬱】悶
伸出大拇指	伸【出】大拇指
回心转意了	【回】心轉意【了】
伊斯兰建筑	伊斯蘭建【築】
轮回的时间	輪【回】的時間
而烟消云散	而【煙】消【雲】散
同时推出了	【同】時推【出】【了】
人才高消费	人【才】高消費
想象出来的	想象【出】來的
占人口总数	【佔】人口總數
只要你用心	【只】要你用心
伊拉克目前	伊拉【克】目前
回旋加速器	【回】旋加速器
忧郁症患者	憂【鬱】【症】患者
游戏下一个	【遊】戲下一個
发作性睡病	【發】作性睡病
中欧关系的	中歐關【係】的
刚刚发生的	剛剛【發】生的
有一年多了	有一年多【了】
寡妇制造者	寡婦【制】造者
寒冷的冬夜	寒冷的【冬】夜
我们宿舍的	我們宿【舍】的
也会有不同	也會有不【同】
拿出了一个	拿【出】【了】一個
想你的夜里	想你的夜【里】
美国代表团	美國代【表】【團】
当地时间本	【當】地時間本
硝酸纤维素	硝酸【纖】維素
也回不来了	也【回】不來【了】
关系民主化	關【係】民主化
跨出第一步	跨【出】第一步
不用担心了	不用擔心【了】
销售面积为	銷售【面】積爲
醒来时发现	醒來時【發】現
你是哪里人	你是哪【里】人
历史性时刻	【歷】史性時刻
太阳下山了	太陽下山【了】
何时才能够	何時【才】能夠
回到了学校	【回】到【了】學校
马拉松式的	馬拉【鬆】式的
的事太多了	的事太多【了】
你只是一个	你【只】是一個
当时的人们	【當】時的人們
有才华的人	有【才】華的人
打电子游戏	打電子【遊】戲
详细讲述了	詳細講述【了】
已经认识了	已經認識【了】
动听的歌曲	動聽的歌【曲】
引人注目地	引人【注】目地
会经常出现	會經常【出】現
我忍不住了	我忍不住【了】
只是一个劲	【只】是一個勁
衡量的标准	衡量的標【準】
和其他同学	和其他【同】學
台儿庄大战	【臺】兒莊大戰
朝鲜进行了	朝鮮進行【了】
证据来证明	證【據】來證明
出生在美国	【出】生在美國
第一次获得	第一次【獲】得
夜幕降临了	夜幕降臨【了】
了生命中的	【了】生命中的
爱情的游戏	愛情的【遊】戲
不要舍不得	不要【舍】不得
人穷志不穷	人窮【志】不窮
征战亚洲杯	【徵】戰亞洲杯
在日本发售	在日本【發】售
战斗的胜利	戰【鬭】的勝利
下午回来的	下午【回】來的
联合国提出	聯合國提【出】
已经是相当	已經是相【當】
都找不回来	都找不【回】來
真的忘不了	真的忘不【了】
眼眶里打转	眼眶【里】打轉
投票结束后	投票結束【後】
的情感经历	的情感經【歷】
没什么发展	沒什麼【發】展
的系列报道	的【係】列報道
为了下一代	爲【了】下一代
以种种借口	以【種】【種】【借】口
中药药理学	中【藥】【藥】理學
一定很幸福	一定很【幸】福
枪击案发生	槍擊案【發】生
空间开通了	空間開通【了】
表演的时候	【表】演的時候
心里默默的	心【里】默默的
突然才发现	突然【才】【發】現
伊拉克战俘	伊拉【克】戰俘
意志坚强的	意【志】堅強的
愿意为了你	願意爲【了】你
经历漫长的	經【歷】漫長的
这种巨大的	這【種】巨大的
在进行当中	在進行【當】中
秋天的树叶	【秋】天的樹葉
登幽州台歌	登幽州【臺】歌
所有的同学	所有的【同】學
以后告诉你	以【後】告訴你
我们就有了	我們就有【了】
为什么这种	爲什麼這【種】
钱不是万能	錢不是【萬】能
石油干洗机	石油【幹】洗機
汇率在合理	【匯】率在合理
只要你有心	【只】要你有心
相当成功的	相【當】成功的
剩余价值率	剩【餘】價值率
成过眼云烟	成過眼【雲】【煙】
当做自己的	【當】做自己的
打出漂亮的	打【出】漂亮的
自己选择了	自己選擇【了】
取消了原定	取消【了】原定
出现改变了	【出】現改變【了】
差距太大了	差距太大【了】
某建筑公司	某建【築】公司
调整了一下	調整【了】一下
只有当我们	【只】有【當】我們
我现在只能	我現在【只】能
你走到哪里	你走到哪【里】
觉得有一种	覺得有一【種】
的台湾地区	的【臺】灣地區
胡锦涛来到	【胡】錦濤來到
我刚才已经	我剛【才】已經
你生气了啊	你生氣【了】啊
云南西北部	【雲】南西北部
签名档使用	【籖】名檔使用
音量控制器	音量控【制】器
我觉得特别	我覺得特【別】
一种自然的	一【種】自然的
并没有离开	【並】沒有離開
乌克兰政府	烏【克】蘭政府
招生计划为	招生計【劃】爲
在学生面前	在學生【面】前
触犯了法律	觸犯【了】法律
突发脑溢血	突【發】腦溢血
他们给了我	他們給【了】我
情人节当天	情人節【當】天
今年黄金周	今年黃金【周】
的攻击范围	的攻擊【範】圍
比赛的最后	比賽的最【後】
盗窃摩托车	盜竊摩【托】車
只牵你的手	【只】牽你的手
几乎就没有	【幾】乎就沒有
丰富的游戏	【豐】富的【遊】戲
正密切关注	正密切關【注】
向中国足协	【向】中國足協
克尔凯郭尔	【克】爾凱郭爾
发生的地点	【發】生的地點
放松心情的	放【鬆】心情的
导致投资者	導【致】投資者
医生检查后	醫生檢查【後】
中解救出来	中解救【出】來
俱乐部签约	俱樂部【籖】約
当我爱上你	【當】我愛上你
实际控制线	實際控【制】線
上就出现了	上就【出】現【了】
我没有别的	我沒有【別】的
出现的所有	【出】現的所有
尚无时间表	尚無時間【表】
并没有刻意	【並】沒有刻意
内存注册机	內存【注】冊機
一种健康的	一【種】健康的
从医院出来	從醫院【出】來
胡锦涛访美	【胡】錦濤訪美
心里还是很	心【里】還是很
成长的历程	成長的【歷】程
重装系统了	重裝【係】統【了】
有完全不同	有完全不【同】
一家出版社	一家【出】版社
复杂的原因	【復】雜的原因
怎样的关系	怎樣的關【係】
这里是什么	這【里】是什麼
想干什么就	想【幹】什麼就
我要走了哈	我要走【了】哈
得到了印证	得到【了】印證
自己的性别	自己的性【別】
不怎么玩了	不怎麼玩【了】
派出所调查	派【出】所調查
开发商通过	開【發】商通過
全班同学的	全班【同】學的
分析家表示	分析家【表】示
包括伊拉克	包括伊拉【克】
组最后一轮	組最【後】一輪
能回心转意	能【回】心轉意
的价格只有	的價格【只】有
忙得团团转	忙得【團】【團】轉
然后慢慢的	然【後】慢慢的
弥漫着一种	彌漫著一【種】
我错了老婆	我錯【了】老婆
很快就有了	很快就有【了】
究竟是一种	究竟是一【種】
向美国政府	【向】美國政府
向记者描述	【向】記者描述
出差的时候	【出】差的時候
三年过去了	三年過去【了】
日本历史上	日本【歷】史上
我心里还是	我心【里】還是
经济数据的	經濟數【據】的
多注意身体	多【注】意身體
就不好看了	就不好看【了】
你才知道呀	你【才】知道呀
之后第一次	之【後】第一次
的证据显示	的證【據】顯示
温家宝指出	溫家寶指【出】
是我看错了	是我看錯【了】
正在经历一	正在經【歷】一
没有共同的	沒有共【同】的
长征三号甲	長【徵】三號甲
从今以后我	從今以【後】我
阴沟里翻船	陰溝【里】翻船
的保障范围	的保障【範】圍
几乎相同的	【幾】乎相【同】的
特别增加了	特【別】增加【了】
去帮助别人	去幫助【別】人
为了让儿子	爲【了】讓兒子
孤独的夜里	孤獨的夜【里】
你多大了呢	你多大【了】呢
伊拉克暴力	伊拉【克】暴力
资本的周转	資本的【周】轉
乌克兰议会	烏【克】蘭議會
我当时就想	我【當】時就想
记者联系了	記者聯【係】【了】
有你就够了	有你就夠【了】
标准大气压	標【準】大氣壓
为什么只是	爲什麼【只】是
今天出生的	今天【出】生的
才能够算到	【才】能夠算到
导致白血病	導【致】白血病
次就可以了	次就可以【了】
一系列合作	一【係】列合作
的外资并购	的外資【並】購
的小学同学	的小學【同】學
之所以会出	之所以會【出】
作出了上述	作【出】【了】上述
波上寒烟翠	波上寒【煙】翠
他们只知道	他們【只】知道
中有千千结	中有【千】【千】結
作业做好了	作業做好【了】
最近出现的	最近【出】現的
根据现在的	根【據】現在的
伊拉克拥有	伊拉【克】擁有
新股发行的	新股【發】行的
大大刺激了	大大刺激【了】
明月出天山	明月【出】天山
出现的概率	【出】現的概率
都有着不同	都有著不【同】
公里动车组	公【里】動車組
一种美好的	一【種】美好的
这样才可能	這樣【才】可能
电话里告诉	電話【里】告訴
你那里没有	你那【里】沒有
长大成人后	長大成人【後】
干什么呢啊	【幹】什麼呢啊
与地面平行	與地【面】平行
但是同时也	但是【同】時也
快点回来啊	快點【回】來啊
甚至超越了	甚至超越【了】
征战世界杯	【徵】戰世界杯
别人的事情	【別】人的事情
到无法挽回	到無法【挽】【回】
生活在不同	生活在不【同】
是大学同学	是大學【同】學
进出港航班	進【出】港航班
目前正面临	目前正【面】臨
苹果电脑的	【蘋】果電腦的
派出专家组	派【出】專家組
同样的一个	【同】樣的一個
有的人为了	有的人爲【了】
一种特有的	一【種】特有的
在当天举行	在【當】天舉行
就不能活了	就不能活【了】
多语种翻译	多語【種】翻譯
也可能只是	也可能【只】是
之间的战斗	之間的戰【鬭】
你先回去吧	你先【回】去吧
里外不是人	【里】外不是人
就不正常了	就不正常【了】
回忆起当年	【回】憶起【當】年
心碎了你把	心碎【了】你把
造化钟神秀	造化【鍾】神秀
征收利息税	【徵】收利息稅
等中毒症状	等中毒【症】狀
苏尼特左旗	【蘇】尼特左旗
时候回学校	時候【回】學校
终于开口了	終於開口【了】
日发布消息	日【發】【佈】消息
内蒙古在线	內【蒙】古在線
出去散散心	【出】去散散心
记得当时我	記得【當】時我
并没有在意	【並】沒有在意
这几个月的	這【幾】個月的
才能够得到	【才】能夠得到
核武器计划	核武器計【劃】
问怎么回事	問怎麼【回】事
怎么下了啊	怎麼下【了】啊
不代表什么	不代【表】什麼
联合国公布	聯合國公【佈】
看着天花板	看著天花【板】
都流出来了	都流【出】來【了】
刚才出去了	剛【才】【出】去【了】
眼睛注视着	眼睛【注】視著
我只能独自	我【只】能獨自
一段精彩的	一段精【彩】的
散发着淡淡	散【發】著淡淡
带到派出所	帶到派【出】所
在你面前我	在你【面】前我
气象台预计	氣象【臺】預計
已得到控制	已得到控【制】
也看不见了	也看不見【了】
频繁出现的	頻繁【出】現的
出现结构性	【出】現結構性
给出明确的	給【出】明確的
发现它们的	【發】現它們的
你是在哪里	你是在哪【里】
离开你以后	離開你以【後】
房地产老板	房地產老【板】
我当然愿意	我【當】然願意
我小学同学	我小學【同】學
能相提并论	能相提【並】論
首先当然是	首先【當】然是
收到了好多	收到【了】好多
又过了几天	又過【了】【幾】天
看见了自己	看見【了】自己
康复出院了	康【復】【出】院【了】
伊拉克民众	伊拉【克】民眾
的致命一击	的【致】命一擊
据北京日报	【據】北京日報
我当时心里	我【當】時心【里】
我都好几天	我都好【幾】天
昨天了解到	昨天【了】解到
还不回家啊	還不【回】家啊
最终放弃了	最終放棄【了】
发出声音的	【發】【出】聲音的
了他的眼睛	【了】他的眼睛
上海代表团	上海代【表】【團】
发言人指出	【發】言人指【出】
什么希望了	什麼希望【了】
已经太晚了	已經太晚【了】
过了这么久	過【了】這麼久
与克罗地亚	與【克】羅地亞
更是得到了	更是得到【了】
是行尸走肉	是行【屍】走肉
我发给你看	我【發】給你看
几分钟之后	【幾】分【鍾】之【後】
派出所立即	派【出】所立即
也未尝不是	也未【嘗】不是
指数上涨了	指數上漲【了】
跟别人聊天	跟【別】人聊天
付出了生命	付【出】【了】生命
的重要性了	的重要性【了】
我看到了你	我看到【了】你
一直占据着	一直【佔】【據】著
硫酸阿托品	硫酸阿【托】品
毅然放弃了	毅然放棄【了】
发生了兴趣	【發】生【了】興趣
站出来说话	站【出】來說話
如果你看了	如果你看【了】
必须这样做	必【須】這樣做
留学生代表	留學生代【表】
占有绝对的	【佔】有絕對的
当时我就想	【當】時我就想
该报告指出	該報告指【出】
出席了当天	【出】席【了】【當】天
了中国电影	【了】中國電影
终于推出了	終於推【出】【了】
毫无表情地	毫無【表】情地
进行了会晤	進行【了】會晤
你来干什么	你來【幹】什麼
变的麻木了	變的麻木【了】
这样诞生了	這樣誕生【了】
能够在这里	能夠在這【里】
好像并没有	好像【並】沒有
他点了点头	他點【了】點頭
在那里上的	在那【里】上的
人不同程度	人不【同】程度
乌克兰总理	烏【克】蘭總理
金人庆表示	金人慶【表】示
宁静以致远	寧靜以【致】遠
不了内心的	不【了】內心的
图形数据库	圖形數【據】庫
每一分钟都	每一分【鍾】都
我们只有在	我們【只】有在
经上级批准	經上級批【準】
幸福与快乐	【幸】福與快樂
每当我看到	每【當】我看到
你是干吗的	你是【幹】嗎的
的制作公司	的【制】作公司
很多人为了	很多人爲【了】
这件事发生	這件事【發】生
在这里感谢	在這【里】感謝
并且获得了	【並】且【獲】得【了】
目前公布的	目前公【佈】的
为了什么而	爲【了】什麼而
的数字表明	的數字【表】明
汤姆历险记	湯姆【歷】險記
防卫厅升格	防衛廳【升】格
高技术陶瓷	高技【術】陶瓷
幸福的标准	【幸】福的標【準】
其实说白了	其實說白【了】
毕业后工作	畢業【後】工作
舍不得丢弃	【舍】不得丟棄
站在她面前	站在她【面】前
共同生活了	共【同】生活【了】
一妻多夫制	一妻多夫【制】
特殊的关系	特殊的關【係】
应该结婚了	應該結婚【了】
实在不行了	實在不行【了】
布雷西亚诺	【佈】雷西亞諾
了这个事实	【了】這個事實
则完全不同	則完全不【同】
回首来时路	【回】首來時路
昨天公布了	昨天公【佈】【了】
恰当的时机	恰【當】的時機
的纳斯达克	的納斯達【克】
已经证实了	已經證實【了】
中共代表团	中共代【表】【團】
交代了自己	交代【了】自己
在今年秋季	在今年【秋】季
建筑物设计	建【築】物設計
详细披露了	詳細披露【了】
我控制不住	我控【制】不住
过几天就要	過【幾】天就要
就要放假了	就要放假【了】
终不能幸免	終不能【幸】免
一定要参加	一定要【參】加
越南共产党	越南共產【黨】
只有懒女人	【只】有懶女人
向台湾同胞	【向】【臺】灣【同】胞
真是幸福啊	真是【幸】福啊
一种微妙的	一【種】微妙的
我在这里等	我在這【里】等
又过了一个	又過【了】一個
不知怎么了	不知怎麼【了】
不了了之了	不【了】【了】之【了】
轻松的心情	輕【鬆】的心情
我不想干了	我不想【幹】【了】
股吸收合并	股吸收合【並】
重新获得了	重新【獲】得【了】
看着镜子里	看著鏡子【里】
实在看不出	實在看不【出】
的体貌特征	的體貌特【徵】
陷入无尽的	陷入無【盡】的
出人意外的	【出】人意外的
只要两个人	【只】要兩個人
在过去一周	在過去一【周】
我开不了口	我開不【了】口
日前发表的	日前【發】【表】的
个人的幸福	個人的【幸】福
针对俄罗斯	【針】對俄羅斯
瑟瑟发抖的	瑟瑟【發】抖的
已经好多了	已經好多【了】
完成了一项	完成【了】一項
躲在被窝里	躲在被窩【里】
并表示愿意	【並】【表】示願意
之前推出的	之前推【出】的
向心加速度	【向】心加速度
陌生人里面	陌生人【里】【面】
眼睛周围的	眼睛【周】圍的
了我的灵魂	【了】我的靈魂
平板扫描仪	平【板】掃描儀
二进制数字	二進【制】數字
一千个理由	一【千】個理由
你朋友那里	你朋友那【里】
停止了跳动	停止【了】跳動
在接受当地	在接受【當】地
都差不多了	都差不多【了】
到了下半场	到【了】下半場
只是表面的	【只】是【表】【面】的
专心致志的	專心【致】【志】的
有什么计划	有什麼計【劃】
更不幸的是	更不【幸】的是
存在着种种	存在著【種】【種】
两个小家伙	兩個小家【夥】
那你发给我	那你【發】給我
参与伊拉克	【參】與伊拉【克】
一会再联系	一會再聯【係】
受不了自己	受不【了】自己
的热情关注	的熱情關【注】
竟然变成了	竟然變成【了】
只要有你在	【只】要有你在
小巧精致的	小巧精【致】的
从此以后他	從此以【後】他
上周公布的	上【周】公【佈】的
伊拉克法庭	伊拉【克】法庭
暗恋桃花源	【暗】戀桃花源
尤其是面对	尤其是【面】對
聊我先走了	聊我先走【了】
为了各自的	爲【了】各自的
已经关闭了	已經關閉【了】
国友好关系	國友好關【係】
现实世界里	現實世界【里】
当记者问他	【當】記者問他
的看法不同	的看法不【同】
改变了许多	改變【了】許多
请千万不要	請【千】【萬】不要
几个朋友去	【幾】個朋友去
点多才回来	點多【才】【回】來
尽管我知道	【盡】管我知道
感情丰富的	感情【豐】富的
与中国发展	與中國【發】展
却一无所获	卻一無所【獲】
抗冲击性能	抗【衝】擊性能
得到了认可	得到【了】認可
电视发射塔	電視【發】射塔
这篇文章后	這篇文章【後】
的一种态度	的一【種】態度
你现在那里	你現在那【里】
这架直升机	這架直【升】機
跟大家见面	跟大家見【面】
最后剩下的	最【後】剩下的
千娇百媚的	【千】嬌百媚的
什么舍不得	什麼【舍】不得
准备第二天	【準】備第二天
彩钢复合板	【彩】鋼【復】合【板】
回去干什么	【回】去【幹】什麼
也就结束了	也就結束【了】
里面有两个	【里】【面】有兩個
干什么去呀	【幹】什麼去呀
精彩的线上	精【彩】的線上
我怎么了呀	我怎麼【了】呀
可能再回头	可能再【回】頭
就可以了撒	就可以【了】撒
关系的紧张	關【係】的緊張
不当一回事	不【當】一【回】事
更大的困难	更大的【困】難
我只能这样	我【只】能這樣
同学一起去	【同】學一起去
后来有一次	【後】來有一次
再也回不来	再也【回】不來
种子俄罗斯	【種】子俄羅斯
是出于一种	是【出】於一【種】
大汗淋漓地	大汗淋【漓】地
出现在媒体	【出】現在媒體
颌面修复学	頜【面】修【復】學
是不是特别	是不是特【別】
带来了麻烦	帶來【了】麻煩
爆炸发生后	爆炸【發】生【後】
演讲结束后	演講結束【後】
即将面临的	即將【面】臨的
的受不了了	的受不【了】【了】
呼吁伊拉克	呼【籲】伊拉【克】
我就知足了	我就知足【了】
做出了决定	做【出】【了】決定
出现了变化	【出】現【了】變化
奋斗一辈子	奮【鬭】一輩子
民主进步党	民主進步【黨】
吃了一顿饭	吃【了】一頓飯
也就习惯了	也就習慣【了】
地下水喷发	地下水噴【發】
还没回家啊	還沒【回】家啊
武侠小说里	武俠小說【里】
才依依不舍	【才】依依不【舍】
了一个陌生	【了】一個陌生
只是有一点	【只】是有一點
这物欲横流	這物【欲】橫流
变化太大了	變化太大【了】
离开伊拉克	離開伊拉【克】
并没有打算	【並】沒有打算
公共电视台	公共電視【臺】
在干什么那	在【幹】什麼那
相互了解的	相互【了】解的
选举结束后	選舉結束【後】
低头看了看	低頭看【了】看
首都布拉格	首都【佈】拉格
推出的这款	推【出】的這款
姿态出现在	姿態【出】現在
钢筋弯曲机	鋼筋彎【曲】機
默哀一分钟	默哀一分【鍾】
这个复杂的	這個【復】雜的
论坛与大家	論【壇】與大家
帘外雨潺潺	【簾】外雨潺潺
直到现在才	直到現在【才】
他们只是在	他們【只】是在
发生了爆炸	【發】生【了】爆炸
无理取闹了	無理取鬧【了】
这些复杂的	這些【復】雜的
成熟了许多	成熟【了】許多
台湾的经济	【臺】灣的經濟
前场篮板球	前場籃【板】球
都干什么呢	都【幹】什麼呢
这段日子里	這段日子【里】
当然是好事	【當】然是好事
当然不会放	【當】然不會放
发布了今年	【發】【佈】【了】今年
那样的回忆	那樣的【回】憶
墙里佳人笑	牆【里】佳人笑
如果离开了	如果離開【了】
都有两面性	都有兩【面】性
迄今发现的	迄今【發】現的
就是看中了	就是看中【了】
没有关系了	沒有關【係】【了】
你要结婚了	你要結婚【了】
代表俱乐部	代【表】俱樂部
反复无常的	反【復】無常的
不同的能力	不【同】的能力
巴洛克建筑	巴洛【克】建【築】
煮好了没有	煮好【了】沒有
禁毒志愿者	禁毒【志】願者
发生炉煤气	【發】生爐煤氣
气象台首席	氣象【臺】首席
伊拉克议会	伊拉【克】議會
第一次面对	第一次【面】對
终于摆脱了	終於【擺】脫【了】
也别有一番	也【別】有一番
永远只有你	永遠【只】有你
的单向收费	的單【向】收費
一种生命的	一【種】生命的
呼吸着同样	呼吸著【同】樣
的寥寥无几	的寥寥無【幾】
我等了你好	我等【了】你好
尚福林表示	尚福林【表】示
目光注视着	目光【注】視著
放松自己的	放【鬆】自己的
可怜白发生	可憐白【發】生
的马拉松赛	的馬拉【鬆】賽
只是不经意	【只】是不經意
你感觉到了	你感覺到【了】
主要反对党	主要反對【黨】
现在并没有	現在【並】沒有
之间的争斗	之間的爭【鬭】
当夜深人静	【當】夜深人靜
纽约的秋天	紐約的【秋】天
最终赢得了	最終贏得【了】
十几年来的	十【幾】年來的
游戏本身的	【遊】戲本身的
是为了生存	是爲【了】生存
了许多事情	【了】許多事情
的比我幸福	的比我【幸】福
向记者坦言	【向】記者坦言
了我是一个	【了】我是一個
露出了微笑	露【出】【了】微笑
就准备好了	就【準】備好【了】
就好了呵呵	就好【了】呵呵
经常来这里	經常來這【里】
跟你发信息	跟你【發】信息
领了结婚证	領【了】結婚證
电子数据表	電子數【據】【表】
确实发生了	確實【發】生【了】
洗衣服去了	洗衣服去【了】
是为了逃避	是爲【了】逃避
记者发现了	記者【發】現【了】
无边的黑暗	無邊的黑【暗】
很快就好了	很快就好【了】
得到了一份	得到【了】一份
简直是一种	簡直是一【種】
总算过去了	總算過去【了】
充满了恐惧	充滿【了】恐懼
我先回去了	我先【回】去【了】
成为了历史	成爲【了】【歷】史
