发表的	【發】【表】的
摆摊卖	【擺】攤賣
彩虹般	【彩】虹般
我借口	我【借】口
伤了她	傷【了】她
嫁了吧	嫁【了】吧
我建了	我建【了】
记得当	記得【當】
泡菜坛	泡菜【壇】
判别式	判【別】式
的冬训	的【冬】訓
感伤了	感傷【了】
而坏了	而壞【了】
太吵了	太吵【了】
清洁布	清潔【佈】
去沈阳	去【瀋】陽
只有家	【只】有家
管它了	管它【了】
就火了	就火【了】
沙雕节	沙【雕】節
无须多	無【須】多
后来上	【後】來上
标志服	標【志】服
但后面	但【後】【面】
并否认	【並】否認
发片的	【發】片的
布手套	【佈】手套
这几样	這【幾】樣
缓冲层	緩【衝】層
游艺场	【遊】藝場
潘冬子	潘【冬】子
起复牌	起【復】牌
链条厂	【鏈】條廠
勉强了	勉強【了】
同比仅	【同】比僅
恐龙了	恐龍【了】
可取回	可取【回】
游用户	【遊】用戶
烧退了	燒退【了】
的戒烟	的戒【煙】
一同长	一【同】長
余地了	【餘】地【了】
饿了吧	餓【了】吧
我回啊	我【回】啊
委托于	委【托】於
了陷阱	【了】陷阱
制钉机	【制】釘機
胡兆军	【胡】兆軍
给了它	給【了】它
记者欲	記者【欲】
混纺布	混紡【佈】
回转体	【回】轉體
晒谷场	曬【谷】場
相思曲	相思【曲】
黑出租	黑【出】租
蒙脱土	【蒙】脫土
斩断了	斬斷【了】
配合面	配合【面】
只等待	【只】等待
鹤冲天	鶴【衝】天
搞垮了	搞垮【了】
种母猪	【種】母豬
向下压	【向】下壓
游戏房	【遊】戲房
遮掩了	遮掩【了】
瑞表示	瑞【表】示
云南队	【雲】南隊
他分别	他分【別】
骗了你	騙【了】你
青岛了	青島【了】
欠缺了	欠缺【了】
才停下	【才】停下
不发威	不【發】威
思想了	思想【了】
范文程	【範】文程
中的占	中的【佔】
神经系	神經【係】
游游泳	【遊】【遊】泳
回龙镇	【回】龍鎮
周期律	【周】期律
度发生	度【發】生
那肮脏	那骯【髒】
内向性	內【向】性
止吐药	止吐【藥】
大门后	大門【後】
切菜板	切菜【板】
租赁了	租賃【了】
想他了	想他【了】
伯里兹	伯【里】茲
这冬天	這【冬】天
曲水县	【曲】水縣
寄托者	寄【托】者
故里拜	故【里】拜
我只愿	我【只】願
人潮里	人潮【里】
没付出	沒付【出】
致死不	【致】死不
丰水梨	【豐】水梨
唔系度	唔【係】度
周文重	【周】文重
存包柜	存包【櫃】
扑向了	撲【向】【了】
绘制图	繪【制】圖
杀出个	殺【出】個
并让其	【並】讓其
德克里	德【克】【里】
外表所	外【表】所
战吕布	戰呂【佈】
别耽误	【別】耽誤
非旅游	非旅【遊】
你过了	你過【了】
只能排	【只】能排
暴发力	暴【發】力
评几句	評【幾】句
丰宁县	【豐】寧縣
打板子	打【板】子
跪搓板	跪搓【板】
担当着	擔【當】著
才永远	【才】永遠
火哭了	火哭【了】
烟花火	【煙】花火
以为了	以爲【了】
我懵了	我懵【了】
历史天	【歷】史天
自修复	自修【復】
都喝了	都喝【了】
外面来	外【面】來
向往常	【向】往常
了死神	【了】死神
与香烟	與香【煙】
也加了	也加【了】
你戒烟	你戒【煙】
下足了	下足【了】
秋天真	【秋】天真
杂种狗	雜【種】狗
金钱松	金錢【鬆】
的召回	的召【回】
发炎了	【發】炎【了】
拼出来	拼【出】來
去家里	去家【里】
反周期	反【周】期
打垮了	打垮【了】
时间制	時間【制】
去考了	去考【了】
的秋雨	的【秋】雨
欲通过	【欲】通過
就删了	就刪【了】
胡金铨	【胡】金銓
一讲出	一講【出】
用回忆	用【回】憶
回教的	【回】教的
朱师傅	【朱】師傅
男老板	男老【板】
孕穗期	孕【穗】期
给前面	給前【面】
才修好	【才】修好
巡回的	巡【回】的
睡熟了	睡熟【了】
发光片	【發】光片
蒙顶山	【蒙】頂山
鲁布革	魯【佈】革
同学哦	【同】學哦
征税额	【徵】稅額
扯后腿	扯【後】腿
了楼下	【了】樓下
安装面	安裝【面】
跟当地	跟【當】地
雕刻上	【雕】刻上
尽情去	【盡】情去
五彩池	五【彩】池
隐忍了	隱忍【了】
了这幅	【了】這幅
了才去	【了】【才】去
第四系	第四【係】
拱了拱	拱【了】拱
玩好了	玩好【了】
出去耍	【出】去耍
了惨重	【了】慘重
开出去	開【出】去
干吗就	【幹】嗎就
个象征	個象【徵】
了海啸	【了】海嘯
灌满了	灌滿【了】
座山雕	座山【雕】
机制好	機【制】好
布什尔	【佈】什爾
高志森	高【志】森
就长了	就長【了】
才听说	【才】聽說
其参赛	其【參】賽
整日里	整日【里】
演周瑜	演【周】瑜
只开来	【只】開來
干嘛呀	【幹】嘛呀
布兰达	【佈】蘭達
发酵菌	【發】酵菌
他放了	他放【了】
才会看	【才】會看
预知了	預知【了】
才知情	【才】知情
当灵魂	【當】靈魂
只能玩	【只】能玩
只睡了	【只】睡【了】
拍了照	拍【了】照
了华硕	【了】華碩
计划法	計【劃】法
行了你	行【了】你
是网游	是網【遊】
标准语	標【準】語
你梦里	你夢【里】
共开出	共開【出】
周转期	【周】轉期
抢着干	搶著【幹】
决斗者	決【鬭】者
了宽容	【了】寬容
了双腿	【了】雙腿
此同学	此【同】學
钢表示	鋼【表】示
被蒙上	被【蒙】上
游运营	【遊】運營
个尽头	個【盡】頭
注入我	【注】入我
了笑脸	【了】笑臉
游素兰	【遊】素蘭
联系没	聯【係】沒
生药学	生【藥】學
便精彩	便精【彩】
后获释	【後】【獲】釋
欣表示	欣【表】示
也谢了	也謝【了】
也回到	也【回】到
瓶里的	瓶【里】的
出现网	【出】現網
场之后	場之【後】
往回赶	往【回】趕
入狱后	入獄【後】
无尽处	無【盡】處
暗沉沉	【暗】沉沉
我吐了	我吐【了】
开上了	開上【了】
恶病质	【惡】病質
的夜曲	的夜【曲】
非控制	非控【制】
亚松森	亞【鬆】森
家系的	家【係】的
一看表	一看【表】
材积表	材積【表】
叶子了	葉子【了】
烟花不	【煙】花不
刚下了	剛下【了】
了不菲	【了】不菲
被针扎	被【針】【扎】
优势种	優勢【種】
花瓶里	花瓶【里】
干预性	【幹】預性
你尽量	你【盡】量
梁志天	【樑】【志】天
钟意的	【鍾】意的
冲片机	【衝】片機
你别在	你【別】在
端上了	端上【了】
某先后	某先【後】
船集团	船集【團】
制贩毒	【制】販毒
这几部	這【幾】部
她讲了	她講【了】
剧组里	劇組【里】
想尝尝	想【嘗】【嘗】
技术地	技【術】地
数只有	數【只】有
几率比	【幾】率比
电话表	電話【表】
的致意	的【致】意
外汇券	外【匯】券
姜黄素	【薑】黃素
同仁县	【同】仁縣
赞同者	贊【同】者
了高二	【了】高二
都当做	都【當】做
了几回	【了】【幾】【回】
陈俊杰	陳俊【傑】
侧面与	側【面】與
冲洗着	【衝】洗著
长经历	長經【歷】
八斗子	八【鬭】子
逐出门	逐【出】門
五斗柜	五【鬭】【櫃】
了一株	【了】一株
理发室	理【發】室
注册项	【注】冊項
嫁不出	嫁不【出】
才精彩	【才】精【彩】
才明了	【才】明【了】
干得很	【幹】得很
车速表	車速【表】
弯曲处	彎【曲】處
你注重	你【注】重
兴发街	興【發】街
幸福对	【幸】福對
连成了	連成【了】
出边线	【出】邊線
买贵了	買貴【了】
吹来了	吹來【了】
在洞里	在洞【里】
第三台	第三【臺】
诺表示	諾【表】示
周期率	【周】期率
球面的	球【面】的
这种书	這【種】書
写控制	寫控【制】
信发出	信【發】【出】
刮胡须	【刮】【胡】【須】
了拜拜	【了】拜拜
瀑布般	瀑【佈】般
面包皮	【面】包皮
破坏出	破壞【出】
听课了	聽課【了】
疯婆娘	瘋婆【娘】
收获着	收【獲】著
在云朵	在【雲】朵
里思念	【里】思念
别理他	【別】理他
表土层	【表】土層
节控制	節控【制】
唱一曲	唱一【曲】
攻击面	攻擊【面】
陶制品	陶【制】品
外部表	外部【表】
射偏出	射偏【出】
我又系	我又【係】
十面体	十【面】體
爱里面	愛【里】【面】
莪术油	莪【術】油
穿这种	穿這【種】
文征明	文【徵】明
眼圈里	眼圈【里】
当初也	【當】初也
脚扭了	腳扭【了】
家里啊	家【里】啊
德语系	德語【係】
那种带	那【種】帶
一种使	一【種】使
邢台的	邢【臺】的
出站后	【出】站【後】
米跳板	米跳【板】
不晕了	不暈【了】
朴新阳	【樸】新陽
换回去	換【回】去
们只是	們【只】是
发呆啊	【發】呆啊
支出法	支【出】法
柯镇恶	柯鎮【惡】
公仔面	公仔【面】
纤小的	【纖】小的
双向链	雙【向】【鏈】
伤感并	傷感【並】
向来对	【向】來對
志愿及	【志】願及
死才怪	死【才】怪
与离别	與離【別】
中占到	中【佔】到
下面啊	下【面】啊
克雷伯	【克】雷伯
买面子	買【面】子
你才死	你【才】死
算错了	算錯【了】
升结肠	【升】結腸
为请托	爲請【托】
当这位	【當】這位
月亮里	月亮【里】
换下了	換下【了】
出锋头	【出】鋒頭
你几眼	你【幾】眼
分轻松	分輕【鬆】
杰王子	【傑】王子
也丢了	也丟【了】
旅程了	旅程【了】
云水谣	【雲】水謠
家药厂	家【藥】廠
凑齐了	湊齊【了】
开大了	開大【了】
种子来	【種】子來
周师傅	【周】師傅
到了儿	到【了】兒
找回去	找【回】去
无须去	無【須】去
舍身崖	【舍】身崖
同你系	【同】你【係】
往下面	往下【面】
包房里	包房【里】
党员学	【黨】員學
一阵烟	一陣【煙】
心灵了	心靈【了】
滴出来	滴【出】來
张云松	張【雲】【鬆】
小弟了	小弟【了】
琅琊台	琅琊【臺】
才陆续	【才】陸續
注资的	【注】資的
下面了	下【面】【了】
烟雨遥	【煙】雨遙
发现吗	【發】現嗎
标志灯	標【志】燈
里有件	【里】有件
表彰者	【表】彰者
系统名	【係】統名
打五折	打五【折】
布尔斯	【佈】爾斯
帐面值	帳【面】值
你晕了	你暈【了】
采伐量	【採】伐量
外墙板	外牆【板】
万世者	【萬】世者
诀别诗	訣【別】詩
钟兴民	【鍾】興民
滚子链	滾子【鏈】
除了等	除【了】等
行百里	行百【里】
苏公塔	【蘇】公塔
里面打	【里】【面】打
了等下	【了】等下
后人员	【後】人員
又降了	又降【了】
我作出	我作【出】
闻不出	聞不【出】
干空气	【幹】空氣
数学了	數學【了】
预制桩	預【制】樁
哪舍得	哪【舍】得
千斤重	【千】斤重
熏蒸剂	【熏】蒸劑
复原了	【復】原【了】
摆布的	【擺】【佈】的
后插上	【後】插上
脏乱的	【髒】亂的
命运里	命運【里】
打回票	打【回】票
有同性	有【同】性
冬梅的	【冬】梅的
的脏话	的【髒】話
宠出来	寵【出】來
数据元	數【據】元
和萝卜	和蘿【卜】
签署人	【籖】署人
卡里斯	卡【里】斯
苏丹和	【蘇】丹和
转而向	轉而【向】
回来哦	【回】來哦
岫岩玉	岫【巖】玉
冬泳者	【冬】泳者
折叠伞	【折】疊傘
会干涸	會【幹】涸
翁同和	翁【同】和
欲望塔	【欲】望塔
要挽留	要【挽】留
枯井里	枯井【里】
发电所	【發】電所
寺院里	寺院【里】
罗时丰	羅時【豐】
同系物	【同】【係】物
亦都系	亦都【係】
重演了	重演【了】
艺术者	藝【術】者
抽走了	抽走【了】
包干区	包【幹】區
莫里克	莫【里】【克】
只顾在	【只】顧在
后半场	【後】半場
梦梁录	夢【樑】錄
蕴藏了	蘊藏【了】
他见了	他見【了】
里再也	【里】再也
别发了	【別】【發】【了】
满州里	滿州【里】
非彩色	非【彩】色
又注定	又【注】定
疼了爱	疼【了】愛
出产地	【出】產地
制管机	【制】管機
周肌肤	【周】肌膚
好象只	好象【只】
云溪区	【雲】溪區
示范带	示【範】帶
只有元	【只】有元
爱河里	愛河【里】
志愿队	【志】願隊
发泄出	【發】泄【出】
抱在了	抱在【了】
只是恨	【只】是恨
下次了	下次【了】
被占据	被【佔】【據】
做出纳	做【出】納
梅里美	梅【里】美
冲浪者	【衝】浪者
发洪水	【發】洪水
钟立风	【鍾】立風
烦透了	煩透【了】
胸口了	胸口【了】
万绿湖	【萬】綠湖
一发发	一【發】【發】
赵克志	趙【克】【志】
有几根	有【幾】根
周六去	【周】六去
观察团	觀察【團】
健身术	健身【術】
亲情了	親情【了】
才吃啊	【才】吃啊
麦克尼	麥【克】尼
奸杀案	【奸】殺案
停课了	停課【了】
格莱布	格萊【佈】
谈论了	談論【了】
单脉冲	單脈【衝】
越干越	越【幹】越
允许了	允許【了】
春来了	春來【了】
指舍利	指【舍】利
里皮的	【里】皮的
袅袅地	【裊】【裊】地
联系么	聯【係】麼
害了她	害【了】她
健表示	健【表】示
心酸了	心酸【了】
抑制型	抑【制】型
独占权	獨【佔】權
沙发巾	沙【發】巾
挖出一	挖【出】一
了却还	【了】卻還
不如向	不如【向】
与周迅	與【周】迅
金银制	金銀【制】
系技能	【係】技能
回归带	【回】歸帶
她呼吁	她呼【籲】
她怀里	她懷【里】
落满了	落滿【了】
动物志	動物【志】
里都不	【里】都不
只是发	【只】是【發】
当真他	【當】真他
赵尚志	趙尚【志】
发售期	【發】售期
萝卜一	蘿【卜】一
区别出	區【別】【出】
一回回	一【回】【回】
周云帆	【周】【雲】帆
别打了	【別】打【了】
面试人	【面】試人
伤口了	傷口【了】
弄掉了	弄掉【了】
都装了	都裝【了】
干瘪瘪	【幹】癟癟
试制品	試【制】品
剖面线	剖【面】線
里变得	【里】變得
新兽药	新獸【藥】
像白云	像白【雲】
系同一	【係】【同】一
并痛苦	【並】痛苦
哄老婆	【哄】老婆
车回去	車【回】去
了对吧	【了】對吧
较注重	較【注】重
关向应	關【向】應
当赌注	【當】賭【注】
好象并	好象【並】
瞅准了	瞅【準】【了】
头几天	頭【幾】天
摇摆舞	搖【擺】舞
大挫折	大挫【折】
列御寇	列【御】寇
双曲面	雙【曲】【面】
地喊出	地喊【出】
并不敢	【並】不敢
同学讲	【同】學講
能干啊	能【幹】啊
都带了	都帶【了】
云梯车	【雲】梯車
一院制	一院【制】
离别而	離【別】而
分别吗	分【別】嗎
都翻了	都翻【了】
的沙雕	的沙【雕】
宿命里	宿命【里】
借读的	【借】讀的
屋面瓦	屋【面】瓦
停牌后	停牌【後】
拐卖了	拐賣【了】
汇改后	【匯】改【後】
同辈人	【同】輩人
炼功人	【煉】功人
系统局	【係】統局
占星术	【佔】星【術】
闹钟的	鬧【鍾】的
拖了一	拖【了】一
并存着	【並】存著
唠叨了	嘮叨【了】
章制度	章【制】度
考完后	考完【後】
去回避	去【回】避
吻住了	吻住【了】
吻了吻	吻【了】吻
压制性	壓【制】性
坡屋面	坡屋【面】
只狮子	【只】獅子
三斗坪	三【鬭】坪
发配到	【發】配到
想干点	想【幹】點
可走了	可走【了】
毒鼠药	毒鼠【藥】
死者系	死者【係】
在向往	在【向】往
咽了口	咽【了】口
犯了难	犯【了】難
告别是	告【別】是
可别忘	可【別】忘
才想你	【才】想你
踢到了	踢到【了】
链接表	【鏈】接【表】
了童话	【了】童話
奥博托	奧博【托】
才把我	【才】把我
只能进	【只】能進
告别吧	告【別】吧
立秋了	立【秋】【了】
撞出来	撞【出】來
一球后	一球【後】
痛不欲	痛不【欲】
回去都	【回】去都
老关系	老關【係】
栗战书	【慄】戰書
能回报	能【回】報
还拿了	還拿【了】
女宿舍	女宿【舍】
两党制	兩【黨】【制】
份上了	份上【了】
透明板	透明【板】
幻觉里	幻覺【里】
药水味	【藥】水味
别起来	【別】起來
慢返回	慢返【回】
台山人	【臺】山人
向左面	【向】左【面】
去烟台	去【煙】【臺】
几个也	【幾】個也
几秒种	【幾】秒【種】
隐去了	隱去【了】
难多了	難多【了】
扛起了	扛起【了】
死板板	死【板】【板】
制造法	【制】造法
买车了	買車【了】
全变了	全變【了】
得球后	得球【後】
向十届	【向】十屆
彬表示	彬【表】示
呆家里	呆家【里】
关了哈	關【了】哈
清明后	清明【後】
了耳洞	【了】耳洞
创汇型	創【匯】型
怕了吗	怕【了】嗎
迷恋了	迷戀【了】
个性了	個性【了】
发货票	【發】貨票
进那里	進那【里】
事做了	事做【了】
向北的	【向】北的
那几点	那【幾】點
苏加诺	【蘇】加諾
梁雁翎	【樑】雁翎
冲一下	【衝】一下
又找回	又找【回】
五万斤	五【萬】斤
胖了呀	胖【了】呀
戒烟者	戒【煙】者
兔游城	兔【遊】城
弟弟了	弟弟【了】
染发液	染【發】液
即食面	即食【面】
位并行	位【並】行
里有事	【里】有事
望获得	望【獲】得
认命了	認命【了】
臧克家	臧【克】家
下手表	下手【表】
那冬天	那【冬】天
后勤学	【後】勤學
我暗笑	我【暗】笑
白云母	白【雲】母
高沈阳	高【瀋】陽
系统零	【係】統零
中药铺	中【藥】鋪
针线盒	【針】線盒
不发啊	不【發】啊
相伴了	相伴【了】
德宣布	德宣【佈】
也值了	也值【了】
据沈阳	【據】【瀋】陽
要发誓	要【發】誓
小级别	小級【別】
嫡系的	嫡【係】的
遗憾才	遺憾【才】
没劲了	沒勁【了】
可比克	可比【克】
同意权	【同】意權
昨夜里	昨夜【里】
并定于	【並】定於
困难地	【困】難地
酒喝了	酒喝【了】
踏出来	踏【出】來
孩儿面	孩兒【面】
分钟多	分【鍾】多
来挽留	來【挽】留
夫妻了	夫妻【了】
只求你	【只】求你
穿起了	穿起【了】
后负荷	【後】負荷
撤走了	撤走【了】
曲麻莱	【曲】麻萊
为了情	爲【了】情
后一面	【後】一【面】
你要向	你要【向】
舒展了	舒展【了】
弄懂了	弄懂【了】
里呆着	【里】呆著
变坏了	變壞【了】
泡面了	泡【面】【了】
周收益	【周】收益
奇妙了	奇妙【了】
昆仑镜	昆【侖】鏡
现浇板	現澆【板】
周艳泓	【周】艷泓
家里时	家【里】時
了把脸	【了】把臉
能借此	能【借】此
却来了	卻來【了】
也回家	也【回】家
采红菱	【採】紅菱
据他称	【據】他稱
当终于	【當】終於
踩踏板	踩踏【板】
说漏了	說漏【了】
古武术	古武【術】
多针的	多【針】的
发表示	【發】【表】示
张云龙	張【雲】龍
地讲了	地講【了】
募兵制	募兵【制】
吹出的	吹【出】的
行凶的	行【兇】的
面点王	【面】點王
骗出来	騙【出】來
回去向	【回】去【向】
活几年	活【幾】年
真系啊	真【係】啊
又弄了	又弄【了】
合议制	合議【制】
靓彩版	靚【彩】版
那到了	那到【了】
烟草商	【煙】草商
已经只	已經【只】
才害怕	【才】害怕
城乡游	城鄉【遊】
那里哦	那【里】哦
里想着	【里】想著
回温州	【回】溫州
只渴望	【只】渴望
也挽回	也【挽】【回】
不详尽	不詳【盡】
划过时	【劃】過時
累了也	纍【了】也
了几颗	【了】【幾】顆
首发站	首【發】站
并非他	【並】非他
回家问	【回】家問
升升级	【升】【升】級
打谷场	打【谷】場
打胎药	打胎【藥】
头发白	頭【發】白
过了也	過【了】也
你回首	你【回】首
大岩桐	大【巖】桐
前后文	前【後】文
退掉了	退掉【了】
任命制	任命【制】
学坏了	學壞【了】
上升率	上【升】率
过惯了	過慣【了】
他取了	他取【了】
暴躁了	暴躁【了】
当它是	【當】它是
建表示	建【表】示
伤困扰	傷【困】擾
中秋是	中【秋】是
出售点	【出】售點
的篮板	的籃【板】
了皮的	【了】皮的
被迫向	被迫【向】
迅速冲	迅速【衝】
九里山	九【里】山
吊嗓子	【吊】嗓子
症状学	【症】狀學
五天游	五天【遊】
找着了	找著【了】
我救了	我救【了】
腌起来	【醃】起來
挤掉了	擠掉【了】
里想的	【里】想的
跟幸福	跟【幸】福
吃几口	吃【幾】口
那老板	那老【板】
拉低了	拉低【了】
同学嘛	【同】學嘛
个表妹	個【表】妹
沈女士	【瀋】女士
火海里	火海【里】
卖出后	賣【出】【後】
新神雕	新神【雕】
我寄了	我寄【了】
致密性	【致】密性
同学那	【同】學那
出生点	【出】生點
日发自	日【發】自
愿出来	願【出】來
给料斗	給料【鬭】
马里的	馬【里】的
才怪了	【才】怪【了】
汉考克	漢考【克】
近中秋	近中【秋】
当局称	【當】局稱
并抓获	【並】抓【獲】
她送回	她送【回】
哈蒙德	哈【蒙】德
向阳镇	【向】陽鎮
彩虹糖	【彩】虹糖
士同时	士【同】時
万里香	【萬】【里】香
中冒出	中冒【出】
的尽在	的【盡】在
发烧站	【發】燒站
个转折	個轉【折】
快点回	快點【回】
朱明瑛	【朱】明瑛
钟女士	【鍾】女士
儿童团	兒童【團】
天空了	天空【了】
脚崴了	腳崴【了】
几个呢	【幾】個呢
精彩吗	精【彩】嗎
玩出来	玩【出】來
原只是	原【只】是
后才懂	【後】【才】懂
周永恒	【周】永恆
约出来	約【出】來
三台子	三【臺】子
大同村	大【同】村
无言了	無言【了】
吃药前	吃【藥】前
记当时	記【當】時
只听过	【只】聽過
双面印	雙【面】印
失读症	失讀【症】
烟花是	【煙】花是
电台里	電【臺】【里】
冬季了	【冬】季【了】
里昂队	【里】昂隊
注意哈	【注】意哈
就要哄	就要【哄】
往后方	往【後】方
碎石术	碎石【術】
烧死了	燒死【了】
谁当真	誰【當】真
健忘了	健忘【了】
松懈地	【鬆】懈地
才做了	【才】做【了】
才说了	【才】說【了】
姜帝圭	【薑】帝圭
源表示	源【表】示
面密度	【面】密度
当哥们	【當】哥們
探究出	探究【出】
青云门	青【雲】門
推托的	推【托】的
战术性	戰【術】性
的向她	的【向】她
你干啥	你【幹】啥
大连了	大連【了】
发货了	【發】貨【了】
风化了	風化【了】
而布什	而【佈】什
见人了	見人【了】
八年制	八年【制】
新出土	新【出】土
据新民	【據】新民
贫困面	貧【困】【面】
别流泪	【別】流淚
骂别人	罵【別】人
准一点	【準】一點
向新民	【向】新民
别吵了	【別】吵【了】
余彭年	【餘】彭年
梁敏仪	【樑】敏儀
发得分	【發】得分
脱干系	脫【幹】【係】
他干嘛	他【幹】嘛
同学呀	【同】學呀
缝合了	縫合【了】
放回到	放【回】到
张君秋	張君【秋】
懒散了	懶散【了】
福兰克	福蘭【克】
了千百	【了】【千】百
金云母	金【雲】母
能游泳	能【遊】泳
的划过	的【劃】過
向外侧	【向】外側
艺术厅	藝【術】廳
前表面	前【表】【面】
折价券	【折】價券
并联的	【並】聯的
上当者	上【當】者
烧成了	燒成【了】
内布拉	內【佈】拉
爱出门	愛【出】門
盗走了	盜走【了】
你回想	你【回】想
胡枝子	【胡】枝子
同一辆	【同】一輛
出世间	【出】世間
周末吧	【周】末吧
也长了	也長【了】
升上了	【升】上【了】
老是发	老是【發】
舍得就	【舍】得就
抽动了	抽動【了】
尘土里	塵土【里】
个发型	個【發】型
走过后	走過【後】
够幸福	夠【幸】福
参保者	【參】保者
离别在	離【別】在
朱莉安	【朱】莉安
何日才	何日【才】
姐回来	姐【回】來
升专科	【升】專科
会向我	會【向】我
马利克	馬利【克】
被杀后	被殺【後】
隔开了	隔開【了】
别让爱	【別】讓愛
给拆了	給拆【了】
发那些	【發】那些
爱才有	愛【才】有
奔回来	奔【回】來
药多名	【藥】多名
我只和	我【只】和
拉升了	拉【升】【了】
还留了	還留【了】
先有了	先有【了】
在布雷	在【佈】雷
宣判了	宣判【了】
短松冈	短【鬆】岡
做算术	做算【術】
杰哈德	【傑】哈德
能读出	能讀【出】
托公司	【托】公司
海水面	海水【面】
平纹布	平紋【佈】
何志平	何【志】平
龙岩的	龍【巖】的
拽回来	拽【回】來
电子云	電子【雲】
与丑陋	與【醜】陋
卷目录	【捲】目錄
捏造出	捏造【出】
了却了	【了】卻【了】
周广仁	【周】廣仁
车同轨	車【同】軌
签约国	【籖】約國
凌云寺	凌【雲】寺
告别会	告【別】會
两只鱼	兩【只】魚
外面啊	外【面】啊
酒后代	酒【後】代
梦乡里	夢鄉【里】
马上了	馬上【了】
疑难症	疑難【症】
又翻了	又翻【了】
也折磨	也【折】磨
预留出	預留【出】
到这了	到這【了】
朱屺瞻	【朱】屺瞻
面对爱	【面】對愛
我道别	我道【別】
难忘了	難忘【了】
据欧盟	【據】歐盟
点过后	點過【後】
个平面	個平【面】
朱指导	【朱】指導
据该院	【據】該院
轮回你	輪【回】你
胡桃钳	【胡】桃鉗
云峰山	【雲】峰山
在别离	在【別】離
取最后	取最【後】
在那了	在那【了】
点上了	點上【了】
就老了	就老【了】
精彩你	精【彩】你
在冰面	在冰【面】
逮到了	逮到【了】
舍卫国	【舍】衛國
回荡起	【回】【蕩】起
夸你啊	【誇】你啊
抽出空	抽【出】空
台湾史	【臺】灣史
撑了很	撐【了】很
后悔为	【後】悔爲
她喝了	她喝【了】
跟这种	跟這【種】
广告药	廣告【藥】
了欺骗	【了】欺騙
才会来	【才】會來
笑声了	笑聲【了】
沈阳唱	【瀋】陽唱
蚊子了	蚊子【了】
威克岛	威【克】島
卢志强	盧【志】強
老去了	老去【了】
和麦克	和麥【克】
酱油了	醬油【了】
响声后	響聲【後】
但系有	但【係】有
了宣布	【了】宣【佈】
田秀才	田秀【才】
智慧板	智慧【板】
擦掉了	擦掉【了】
系呢个	【係】呢個
守得云	守得【雲】
回得来	【回】得來
去同一	去【同】一
注意者	【注】意者
了还怕	【了】還怕
的才叫	的【才】叫
建筑者	建【築】者
只有天	【只】有天
共同语	共【同】語
不同族	不【同】族
厚帆布	厚帆【佈】
向岸边	【向】岸邊
却幸福	卻【幸】福
时呼吁	時呼【籲】
巴尔克	巴爾【克】
了花的	【了】花的
忍冬藤	忍【冬】藤
朱成虎	【朱】成虎
而上周	而上【周】
发多次	【發】多次
康复性	康【復】性
掉泪了	掉淚【了】
凄凉了	凄涼【了】
我日了	我日【了】
咬破了	咬破【了】
大同书	大【同】書
裘千仞	裘【千】仞
跟我干	跟我【幹】
摆进去	【擺】進去
摆在他	【擺】在他
喊出的	喊【出】的
后浇带	【後】澆帶
的冒出	的冒【出】
了一缕	【了】一縷
搜寻出	搜尋【出】
分发挥	分【發】揮
科里纳	科【里】納
童第周	童第【周】
地跑回	地跑【回】
并缴获	【並】繳【獲】
醒醒了	醒醒【了】
市党部	市【黨】部
中央面	中央【面】
刑法志	刑法【志】
未用尽	未用【盡】
拍好了	拍好【了】
链接位	【鏈】接位
出一场	【出】一場
都在干	都在【幹】
转运了	轉運【了】
就扔了	就扔【了】
报时钟	報時【鍾】
当明天	【當】明天
既关系	既關【係】
但老板	但老【板】
进驻了	進駐【了】
密码表	密碼【表】
蜡染布	【蠟】染【佈】
想想了	想想【了】
不同班	不【同】班
外宣布	外宣【佈】
交通系	交通【係】
跑车了	跑車【了】
并发数	【並】【發】數
宿舍呢	宿【舍】呢
加完了	加完【了】
采矿者	【採】礦者
人情恶	人情【惡】
烟花节	【煙】花節
干打雷	【幹】打雷
编成了	編成【了】
与后悔	與【後】悔
能开出	能開【出】
升起时	【升】起時
在哭了	在哭【了】
其实才	其實【才】
发球员	【發】球員
品名表	品名【表】
一致化	一【致】化
找他了	找他【了】
哄哄我	【哄】【哄】我
看够了	看夠【了】
出声了	【出】聲【了】
哪错了	哪錯【了】
就接了	就接【了】
轻松呢	輕【鬆】呢
是进了	是進【了】
成穗率	成【穗】率
跳上台	跳上【臺】
薄层板	薄層【板】
当早餐	【當】早餐
假发套	假【發】套
那去干	那去【幹】
乙丑年	乙【醜】年
没那种	沒那【種】
式面膜	式【面】膜
那种会	那【種】會
别刺激	【別】刺激
小丑般	小【醜】般
我黑了	我黑【了】
没发过	沒【發】過
回音在	【回】音在
你别离	你【別】離
制博会	【制】博會
道向我	道【向】我
里对我	【里】對我
刚发生	剛【發】生
没游戏	沒【遊】戲
才加的	【才】加的
一千斤	一【千】斤
亲戚吗	親【戚】嗎
的望了	的望【了】
借多少	【借】多少
注册制	【注】冊【制】
化了妆	化【了】妝
灰板纸	灰【板】紙
奋斗啊	奮【鬭】啊
在袅袅	在【裊】【裊】
克利希	【克】利希
管制区	管【制】區
收回我	收【回】我
超平面	超平【面】
外出了	外【出】【了】
推回来	推【回】來
赋格曲	賦格【曲】
寂寞当	寂寞【當】
同声传	【同】聲傳
冷战了	冷戰【了】
作游戏	作【遊】戲
分别得	分【別】得
防御系	防【御】【係】
展翅欲	展翅【欲】
顶回来	頂【回】來
